year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1755	7	4.8429e-16	6.9689e-15	1.5360e-14	2.4499e-14	3.7726e-14	1.6492e-15	1.2865e-14	2.0233e-14	2.6086e-14	3.2803e-14	3.5105e-15	1.4189e-14	2.0633e-14	3.2753e-14	3.9971e-14	9.5632e-09	4.6320e-08	7.2531e-08	8.7681e-08	1.1121e-07	2.4198e-15	9.8187e-15	1.5231e-14	2.1827e-14	2.9887e-14	4.9493e-15	1.9987e-14	2.5816e-14	3.3145e-14	4.4484e-14	2.8213e-15	1.0776e-14	1.4838e-14	1.8862e-14	2.9407e-14	4.2710e-16	5.1755e-16	7.2234e-16	3.9894e-15	1.1677e-14	3.4768e-16	4.4872e-16	6.6048e-16	6.8556e-15	2.6227e-14	4.5316e-16	5.6263e-16	1.7696e-15	8.1303e-15	1.2339e-14	
1755	8	4.6256e-16	6.6974e-15	1.5571e-14	2.4453e-14	3.7473e-14	1.2461e-15	2.4612e-15	4.6098e-15	7.4916e-15	1.3678e-14	3.1128e-15	1.3068e-14	2.1329e-14	2.6390e-14	3.3548e-14	1.2815e-08	5.5879e-08	7.4322e-08	9.5222e-08	1.1804e-07	2.9578e-15	9.6875e-15	1.3763e-14	1.8175e-14	2.5609e-14	5.0396e-15	2.1002e-14	2.7193e-14	3.3874e-14	4.4735e-14	3.2384e-15	1.2249e-14	1.7613e-14	2.2446e-14	3.0211e-14	4.1183e-16	4.7854e-16	6.9392e-16	7.7523e-15	1.8226e-14	3.2486e-16	4.2769e-16	6.3783e-16	1.4143e-14	2.2080e-14	4.0758e-16	5.3028e-16	2.9511e-15	1.3525e-14	1.6702e-14	
1755	9	4.5788e-16	5.5682e-15	1.5581e-14	2.5099e-14	3.8983e-14	6.9289e-16	8.5930e-16	1.3274e-15	2.8315e-15	5.9838e-15	2.7422e-15	1.0507e-14	1.5050e-14	1.8523e-14	2.2778e-14	1.2960e-08	4.9215e-08	6.3184e-08	7.6321e-08	9.3919e-08	3.1578e-15	8.6340e-15	1.1319e-14	1.4927e-14	2.0523e-14	4.8657e-15	2.0428e-14	2.8354e-14	3.5327e-14	4.5581e-14	3.0371e-15	1.4236e-14	2.0641e-14	2.8195e-14	3.9769e-14	3.8153e-16	4.4513e-16	6.5645e-16	1.1775e-14	1.8400e-14	3.0138e-16	3.8282e-16	8.2015e-16	1.5926e-14	2.1367e-14	3.8096e-16	6.2309e-16	5.6647e-15	1.5359e-14	1.9297e-14	
1755	10	4.3937e-16	6.0708e-15	1.5109e-14	2.4980e-14	4.1595e-14	3.3064e-16	4.1355e-16	5.5847e-16	7.6869e-16	2.4567e-15	2.2468e-15	6.2098e-15	9.9195e-15	1.3623e-14	1.6930e-14	1.0275e-08	3.1863e-08	4.1576e-08	5.0351e-08	6.7317e-08	2.9911e-15	7.2321e-15	9.6504e-15	1.2609e-14	1.7983e-14	4.5376e-15	2.0216e-14	2.9151e-14	3.6917e-14	4.5805e-14	2.5692e-15	1.2952e-14	1.9583e-14	3.0760e-14	4.7613e-14	3.4625e-16	4.2993e-16	6.2750e-16	1.7038e-14	2.0787e-14	2.7233e-16	3.8478e-16	5.9058e-15	1.6098e-14	2.0728e-14	4.3354e-16	1.7431e-15	1.2546e-14	1.9355e-14	2.3317e-14	
1755	11	4.2508e-16	7.1303e-15	1.5650e-14	2.3846e-14	3.7959e-14	2.1056e-16	2.7775e-16	3.7496e-16	4.7513e-16	1.1355e-15	8.8842e-16	4.1368e-15	7.0252e-15	1.0297e-14	1.2146e-14	7.6729e-09	2.2158e-08	2.9773e-08	3.6640e-08	4.7325e-08	2.5763e-15	6.9589e-15	8.5208e-15	1.1154e-14	1.7095e-14	4.2848e-15	2.0392e-14	2.7664e-14	3.3563e-14	4.2362e-14	2.5588e-15	1.2223e-14	1.6919e-14	2.4611e-14	4.5683e-14	2.5980e-16	3.6478e-16	1.5753e-15	1.8882e-14	2.2189e-14	2.3158e-16	4.5693e-16	1.5464e-14	2.1576e-14	2.5086e-14	7.7168e-16	1.3446e-14	1.8360e-14	2.0596e-14	2.3771e-14	
1754	0	7.0908e-16	8.8784e-15	1.5728e-14	2.3238e-14	3.3804e-14	1.5921e-16	2.0940e-16	2.7254e-16	3.5800e-16	8.1865e-16	8.8687e-16	3.0068e-15	6.3738e-15	8.9812e-15	1.4684e-14	6.5191e-09	1.8637e-08	3.0125e-08	3.9635e-08	5.2027e-08	2.2643e-15	7.8426e-15	1.0001e-14	1.2587e-14	2.1468e-14	4.5466e-15	2.1379e-14	2.6511e-14	3.1006e-14	3.8612e-14	2.4268e-15	9.5264e-15	1.3984e-14	2.1257e-14	3.2090e-14	8.2874e-16	3.6494e-15	1.4026e-14	1.7688e-14	2.1840e-14	1.2200e-15	1.1334e-14	1.6245e-14	1.9267e-14	2.9175e-14	3.6831e-15	1.4100e-14	1.7561e-14	2.0192e-14	2.4102e-14	
1754	1	7.6528e-16	1.0089e-14	1.6464e-14	2.4077e-14	3.4954e-14	1.4998e-16	1.8940e-16	2.5949e-16	3.9904e-16	7.9664e-16	9.0397e-16	3.6241e-15	7.8216e-15	1.3572e-14	2.0096e-14	9.3686e-09	3.4269e-08	4.4231e-08	5.2034e-08	6.7133e-08	2.4077e-15	8.9202e-15	1.1655e-14	1.5446e-14	2.7290e-14	4.6735e-15	2.1102e-14	2.6158e-14	3.1789e-14	3.9783e-14	2.5182e-15	9.7992e-15	1.5165e-14	2.2939e-14	3.1977e-14	3.6302e-15	1.2754e-14	1.7095e-14	2.1958e-14	2.8057e-14	4.4613e-15	1.0700e-14	1.5314e-14	1.8575e-14	3.2709e-14	4.8113e-15	8.7445e-15	1.3875e-14	1.6567e-14	1.8908e-14	
1754	2	8.4438e-16	8.0516e-15	1.4247e-14	2.3327e-14	3.6301e-14	1.4943e-16	1.8906e-16	2.5265e-16	3.8080e-16	1.3971e-15	1.8628e-15	1.1051e-14	1.7629e-14	2.3661e-14	2.7273e-14	1.4278e-08	4.2287e-08	5.8344e-08	8.0814e-08	1.0418e-07	2.6708e-15	9.5112e-15	1.4048e-14	1.9019e-14	3.2485e-14	4.7076e-15	2.0244e-14	2.6257e-14	3.2601e-14	4.0714e-14	2.3858e-15	1.0703e-14	1.6554e-14	2.1612e-14	3.2477e-14	3.1078e-15	4.0758e-15	7.1736e-15	1.1442e-14	1.4080e-14	3.9768e-15	5.6056e-15	9.4820e-15	1.1939e-14	1.5073e-14	3.1951e-15	4.1387e-15	1.1275e-14	1.3222e-14	1.5312e-14	
1754	3	8.5645e-16	5.6580e-15	1.3651e-14	2.2983e-14	3.8235e-14	1.2006e-16	1.6538e-16	2.2856e-16	3.7261e-16	1.1829e-14	5.0300e-15	1.6923e-14	2.0900e-14	2.3888e-14	3.8151e-14	1.9105e-08	5.3518e-08	6.4244e-08	8.0745e-08	1.0135e-07	2.7768e-15	9.3127e-15	1.5540e-14	2.3259e-14	3.3433e-14	4.7121e-15	1.9785e-14	2.5775e-14	3.2962e-14	4.4321e-14	2.1634e-15	9.8873e-15	1.4919e-14	1.8735e-14	3.0590e-14	1.0690e-15	1.2346e-15	2.1849e-15	8.2762e-15	1.0493e-14	1.1441e-15	1.3752e-15	3.7406e-15	8.0863e-15	1.1612e-14	1.3655e-15	2.5003e-15	7.0629e-15	8.7806e-15	1.0047e-14	
1754	4	7.0168e-16	4.1838e-15	1.2951e-14	2.3012e-14	3.8870e-14	1.1336e-16	1.4035e-16	2.1108e-16	6.2320e-16	2.4857e-14	5.3211e-15	1.6334e-14	2.2389e-14	3.0015e-14	4.4274e-14	1.6981e-08	6.4735e-08	7.7069e-08	9.0157e-08	1.1958e-07	2.3368e-15	9.8083e-15	1.4517e-14	2.2094e-14	3.8650e-14	4.6129e-15	1.9806e-14	2.5042e-14	3.2935e-14	4.4628e-14	1.9674e-15	8.8150e-15	1.2847e-14	1.6249e-14	2.6285e-14	6.9647e-16	8.4625e-16	1.1964e-15	5.7265e-15	7.7873e-15	6.3666e-16	8.8117e-16	1.6401e-15	5.9982e-15	1.3536e-14	7.6028e-16	1.3365e-15	3.7013e-15	6.3585e-15	8.5941e-15	
