year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
1770	4.6050e-01	5.3005e-01	5.7935e-01	7.8937e-01	6.3890e-01	4.6677e-01	3.8015e-01	1.6873e-01	2.0693e-01	1.9006e-01	2.1044e+02	3.4127e+02	2.6986e+02	4.4493e+02	1.2897e+02	1.1565e+02	2.5838e+02	2.6626e+02	3.1944e+02	2.6216e+02	
1771	4.5983e-01	5.2986e-01	5.7721e-01	7.8890e-01	6.3879e-01	4.6633e-01	3.7869e-01	1.6910e-01	2.0643e-01	1.8995e-01	2.1044e+02	3.5193e+02	2.7146e+02	4.4499e+02	1.2971e+02	1.1534e+02	2.5659e+02	2.6636e+02	3.1880e+02	2.6103e+02	
1772	4.5926e-01	5.3050e-01	5.7607e-01	7.8871e-01	6.3852e-01	4.6604e-01	3.7729e-01	1.6957e-01	2.0527e-01	1.9026e-01	2.1072e+02	3.4411e+02	2.7332e+02	4.4468e+02	1.2945e+02	1.1509e+02	2.5983e+02	2.6654e+02	3.1753e+02	2.6008e+02	
1773	4.5963e-01	5.3025e-01	5.7535e-01	7.8855e-01	6.3888e-01	4.6590e-01	3.7900e-01	1.6984e-01	2.0390e-01	1.9087e-01	2.1099e+02	3.5487e+02	2.7377e+02	4.4368e+02	1.3012e+02	1.1492e+02	2.5969e+02	2.6668e+02	3.1587e+02	2.6026e+02	
1774	4.5957e-01	5.3092e-01	5.7490e-01	7.8776e-01	6.3859e-01	4.6571e-01	3.7941e-01	1.6937e-01	2.0318e-01	1.9160e-01	2.1161e+02	3.6280e+02	2.7552e+02	4.4296e+02	1.2972e+02	1.1477e+02	2.6150e+02	2.6636e+02	3.1482e+02	2.6080e+02	
1775	4.5991e-01	5.3214e-01	5.7471e-01	7.8765e-01	6.3883e-01	4.6542e-01	3.8056e-01	1.6889e-01	2.0326e-01	1.9205e-01	2.1206e+02	3.5081e+02	2.7844e+02	4.4277e+02	1.3034e+02	1.1465e+02	2.6294e+02	2.6636e+02	3.1542e+02	2.6172e+02	
1776	4.6047e-01	5.3223e-01	5.7452e-01	7.8756e-01	6.3855e-01	4.6555e-01	3.8236e-01	1.6825e-01	2.0431e-01	1.9192e-01	2.1350e+02	3.5294e+02	2.7781e+02	4.4215e+02	1.2995e+02	1.1462e+02	2.6828e+02	2.6626e+02	3.1724e+02	2.6218e+02	
1777	4.6084e-01	5.3242e-01	5.7404e-01	7.8640e-01	6.3905e-01	4.6579e-01	3.8327e-01	1.6808e-01	2.0520e-01	1.9136e-01	2.1234e+02	3.6371e+02	2.7922e+02	4.3856e+02	1.3065e+02	1.1478e+02	2.6260e+02	2.6633e+02	3.1843e+02	2.6180e+02	
1778	4.6038e-01	5.3317e-01	5.7384e-01	7.8588e-01	6.3888e-01	4.6626e-01	3.8139e-01	1.6866e-01	2.0516e-01	1.9078e-01	2.1357e+02	3.6727e+02	2.8159e+02	4.3850e+02	1.3021e+02	1.1469e+02	2.6652e+02	2.6683e+02	3.1840e+02	2.6041e+02	
1779	4.6095e-01	5.3363e-01	5.7388e-01	7.8689e-01	6.3964e-01	4.6604e-01	3.8293e-01	1.6916e-01	2.0434e-01	1.9070e-01	2.1329e+02	3.6956e+02	2.8395e+02	4.3852e+02	1.3108e+02	1.1478e+02	2.6456e+02	2.6676e+02	3.1718e+02	2.5928e+02	
1780	4.6093e-01	5.3378e-01	5.7395e-01	7.8852e-01	6.3944e-01	4.6620e-01	3.8275e-01	1.6928e-01	2.0322e-01	1.9100e-01	2.1402e+02	3.7209e+02	2.8397e+02	4.3966e+02	1.3063e+02	1.1500e+02	2.6775e+02	2.6666e+02	3.1520e+02	2.5901e+02	
