year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	7	3.7325e-16	5.6008e-15	2.0149e-14	3.6104e-14	6.2015e-14	7.1636e-16	1.0589e-14	2.0694e-14	3.3368e-14	4.6911e-14	2.2598e-15	1.7627e-14	4.1122e-14	5.1193e-14	6.2033e-14	8.1961e-09	3.2594e-08	4.3047e-08	5.8543e-08	1.3775e-07	2.2582e-15	1.3457e-14	2.2147e-14	3.0659e-14	4.3154e-14	5.7315e-15	3.1785e-14	3.8240e-14	5.0970e-14	7.4610e-14	2.8856e-15	1.1871e-14	2.1393e-14	3.1353e-14	5.2692e-14	3.0331e-16	4.9850e-16	6.5838e-16	4.6973e-15	1.7497e-14	2.5038e-16	5.2026e-16	7.0113e-16	3.5017e-15	1.4132e-14	3.3343e-16	7.1918e-16	2.3876e-15	7.6405e-15	2.4661e-14	
1948	8	3.7190e-16	8.6932e-15	2.2933e-14	3.8961e-14	6.3161e-14	2.1577e-15	3.4600e-15	7.9930e-15	1.6689e-14	3.7282e-14	2.3244e-15	2.7466e-14	3.5726e-14	4.2446e-14	4.9594e-14	8.6979e-09	3.1400e-08	4.5042e-08	6.6378e-08	1.1056e-07	2.6679e-15	1.1192e-14	2.0604e-14	2.7306e-14	3.7564e-14	6.0981e-15	3.2765e-14	4.1206e-14	5.2708e-14	7.7938e-14	4.0767e-15	1.9684e-14	2.8332e-14	3.8552e-14	5.4662e-14	2.9350e-16	5.4724e-16	6.3180e-16	1.6264e-14	5.0671e-14	2.4168e-16	5.3183e-16	1.0900e-15	1.5086e-14	3.9143e-14	3.6189e-16	1.3651e-15	9.1828e-15	2.1097e-14	6.2816e-14	
1948	9	3.8282e-16	1.0003e-14	2.4378e-14	3.8874e-14	6.3783e-14	8.4400e-16	1.2322e-15	2.0423e-15	5.1061e-15	1.5719e-14	2.4642e-15	1.9003e-14	2.5258e-14	2.9006e-14	3.7492e-14	7.9318e-09	2.5480e-08	4.2750e-08	5.9444e-08	7.8414e-08	2.4843e-15	9.4418e-15	1.7999e-14	2.4009e-14	3.3662e-14	6.3758e-15	3.0132e-14	4.1294e-14	5.2806e-14	7.7327e-14	5.1116e-15	2.1178e-14	3.0014e-14	4.3947e-14	6.0142e-14	2.7621e-16	5.0956e-16	7.7210e-16	2.0269e-14	3.8756e-14	2.5299e-16	5.3925e-16	1.1310e-14	2.7133e-14	5.6630e-14	5.1525e-16	1.2107e-14	2.3857e-14	3.0383e-14	4.6817e-14	
1948	10	4.1318e-16	9.7210e-15	2.1136e-14	3.4565e-14	6.0996e-14	3.8648e-16	5.4215e-16	7.8562e-16	1.2777e-15	4.2745e-15	2.2906e-15	8.6876e-15	1.2320e-14	1.5007e-14	1.8518e-14	7.7024e-09	2.4481e-08	3.2527e-08	3.9407e-08	5.5506e-08	2.1514e-15	8.3457e-15	1.5102e-14	2.1439e-14	2.8106e-14	6.2228e-15	2.8833e-14	4.0246e-14	5.1980e-14	7.2778e-14	4.3264e-15	1.7189e-14	2.4695e-14	4.1186e-14	6.3847e-14	2.3081e-16	4.7197e-16	8.0620e-15	2.2574e-14	2.8565e-14	2.5804e-16	5.1979e-16	1.2144e-14	2.3070e-14	3.6391e-14	2.4630e-15	1.7360e-14	2.1943e-14	2.6491e-14	3.6067e-14	
1948	11	4.6961e-16	1.0152e-14	2.2179e-14	3.3492e-14	5.7340e-14	2.1407e-16	2.7556e-16	4.0570e-16	6.6617e-16	1.6071e-15	1.2918e-15	3.3532e-15	5.3742e-15	7.8720e-15	1.0331e-14	6.6025e-09	1.5238e-08	2.2382e-08	3.2814e-08	4.5403e-08	1.9488e-15	7.7734e-15	1.4867e-14	2.2206e-14	2.9170e-14	5.7849e-15	2.9387e-14	3.7165e-14	4.7366e-14	7.1239e-14	4.0426e-15	1.6253e-14	2.3600e-14	3.6238e-14	6.0410e-14	2.8989e-16	1.7201e-15	1.8252e-14	2.4756e-14	3.7665e-14	3.2025e-16	7.0649e-15	1.9074e-14	2.6581e-14	3.5887e-14	5.5490e-15	1.8500e-14	2.3107e-14	2.7724e-14	3.5811e-14	
1949	0	6.3884e-16	1.3027e-14	2.3002e-14	3.3610e-14	5.5135e-14	1.4751e-16	2.2687e-16	3.6013e-16	5.4273e-16	9.7908e-16	5.3867e-16	1.5806e-15	3.7173e-15	7.2457e-15	1.1290e-14	4.2373e-09	1.2350e-08	2.6837e-08	3.5868e-08	5.8080e-08	1.9216e-15	9.7496e-15	1.7628e-14	2.5342e-14	3.4626e-14	5.6285e-15	2.9423e-14	3.7553e-14	4.6344e-14	7.2442e-14	3.8702e-15	1.6544e-14	2.4003e-14	3.4152e-14	5.2848e-14	3.6982e-15	1.4243e-14	2.1591e-14	2.7419e-14	3.5194e-14	4.1907e-15	1.4467e-14	2.1824e-14	2.6685e-14	3.6223e-14	5.1170e-15	1.6375e-14	2.1491e-14	2.4030e-14	2.6406e-14	
1949	1	5.9717e-16	1.1925e-14	2.0255e-14	3.4482e-14	5.6047e-14	1.1717e-16	1.8420e-16	2.8312e-16	4.4419e-16	8.4869e-16	4.8404e-16	2.1534e-15	8.4444e-15	1.2868e-14	1.9350e-14	5.4492e-09	2.6490e-08	4.2202e-08	5.3184e-08	9.0700e-08	2.0219e-15	1.2884e-14	2.2310e-14	3.1953e-14	4.3946e-14	5.6585e-15	2.9639e-14	4.1349e-14	5.0179e-14	6.6810e-14	3.8128e-15	1.4520e-14	2.1068e-14	3.3519e-14	5.3167e-14	4.3963e-15	7.0647e-15	1.3884e-14	1.8529e-14	2.3993e-14	4.6473e-15	9.8999e-15	1.5560e-14	2.0257e-14	2.5457e-14	4.8053e-15	1.6087e-14	2.0017e-14	2.3033e-14	2.6856e-14	
1949	2	7.6376e-16	1.0334e-14	1.7981e-14	3.6312e-14	5.6808e-14	1.0017e-16	1.4902e-16	2.7069e-16	4.2534e-16	2.3934e-15	1.6108e-15	1.3809e-14	2.1725e-14	2.5496e-14	3.2982e-14	1.1349e-08	4.4633e-08	6.7471e-08	9.0020e-08	1.1413e-07	2.2213e-15	1.6492e-14	2.6174e-14	3.6812e-14	4.8927e-14	5.8161e-15	2.9741e-14	4.3908e-14	5.2155e-14	6.5089e-14	3.6058e-15	1.3304e-14	1.8727e-14	3.0780e-14	4.9636e-14	2.3107e-15	3.8966e-15	9.3884e-15	1.4085e-14	1.7363e-14	2.9687e-15	6.0152e-15	1.0382e-14	1.4066e-14	1.8294e-14	4.2243e-15	1.1254e-14	1.3512e-14	1.5971e-14	1.8475e-14	
1949	3	9.3281e-16	8.1536e-15	1.6325e-14	3.6417e-14	5.6839e-14	9.3902e-17	1.3187e-16	2.4800e-16	4.9777e-16	1.5766e-14	4.4577e-15	2.1966e-14	2.8339e-14	3.3774e-14	4.2135e-14	1.5395e-08	4.6938e-08	7.3161e-08	9.8949e-08	1.4219e-07	2.3594e-15	1.3742e-14	2.6649e-14	3.7877e-14	5.5036e-14	5.9154e-15	2.8765e-14	4.2662e-14	5.1134e-14	6.4784e-14	3.4067e-15	1.2961e-14	1.7548e-14	2.8967e-14	4.9072e-14	1.1316e-15	1.4313e-15	6.6210e-15	1.0069e-14	1.1487e-14	1.2324e-15	2.4695e-15	6.1063e-15	9.1152e-15	1.2149e-14	3.3810e-15	8.0538e-15	9.9389e-15	1.1163e-14	1.3145e-14	
1949	4	6.2969e-16	5.7731e-15	1.7023e-14	3.3063e-14	5.0587e-14	1.0199e-16	1.4943e-16	2.5044e-16	7.7741e-15	2.4271e-14	5.6434e-15	2.4028e-14	3.5394e-14	3.9493e-14	5.0833e-14	1.0887e-08	4.6446e-08	5.5296e-08	8.4566e-08	1.2755e-07	1.7945e-15	1.1500e-14	2.3396e-14	3.6384e-14	5.1918e-14	5.6337e-15	2.7333e-14	3.6180e-14	4.4577e-14	5.9065e-14	3.2775e-15	1.1920e-14	1.8030e-14	2.6341e-14	4.2083e-14	6.0074e-16	1.0996e-15	2.1222e-15	6.5527e-15	9.1971e-15	5.9558e-16	9.8969e-16	2.4998e-15	6.0030e-15	9.5900e-15	1.7936e-15	4.0021e-15	6.1257e-15	7.5673e-15	9.8102e-15	
