month	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	7	0.0000e+00	1.2340e-25	8.1097e-18	4.7200e-16	2.6596e-15	0.0000e+00	2.7286e-20	2.2005e-17	3.4385e-16	2.5476e-15	0.0000e+00	3.3528e-19	1.2169e-16	1.4596e-15	6.2462e-15	0.0000e+00	1.8343e-25	9.4046e-18	6.1872e-16	6.9357e-15	0.0000e+00	8.1619e-29	8.3187e-17	5.5218e-16	1.9241e-15	0.0000e+00	4.7315e-26	1.5187e-16	9.2918e-16	3.4151e-15	0.0000e+00	5.7276e-26	5.3099e-17	5.9439e-16	2.2953e-15	0.0000e+00	3.7434e-24	4.9549e-20	1.0553e-18	8.0621e-16	0.0000e+00	1.2225e-25	8.0401e-20	5.4508e-18	1.0106e-15	0.0000e+00	7.9403e-27	6.4964e-19	4.6015e-17	1.5288e-15	
1948	8	0.0000e+00	1.5283e-25	1.2174e-17	5.3040e-16	3.2433e-15	0.0000e+00	2.4008e-20	7.1780e-18	7.9073e-17	1.5310e-15	0.0000e+00	1.9440e-19	9.3784e-17	1.2459e-15	4.2040e-15	0.0000e+00	1.3423e-25	6.0194e-18	3.5481e-16	5.8495e-15	0.0000e+00	7.8691e-29	8.6929e-17	5.2279e-16	1.6589e-15	0.0000e+00	4.6721e-26	1.4853e-16	1.0195e-15	3.8942e-15	0.0000e+00	6.6251e-26	7.0604e-17	8.8454e-16	3.5138e-15	0.0000e+00	1.4337e-23	2.8125e-19	7.0357e-18	1.7199e-15	0.0000e+00	1.8391e-25	3.4701e-19	2.2196e-17	2.1907e-15	0.0000e+00	2.9280e-27	1.0784e-18	1.2613e-16	2.9241e-15	
1948	9	0.0000e+00	1.4198e-25	1.4430e-17	5.4753e-16	3.4006e-15	0.0000e+00	2.0636e-23	6.6550e-20	2.4050e-18	4.1850e-16	0.0000e+00	1.2314e-19	4.6615e-17	5.9923e-16	3.0643e-15	0.0000e+00	7.8696e-26	3.1735e-18	2.3657e-16	3.7920e-15	0.0000e+00	6.8467e-29	7.6466e-17	4.5530e-16	1.3941e-15	0.0000e+00	3.8563e-26	1.3308e-16	1.0549e-15	4.3417e-15	0.0000e+00	6.3786e-26	6.1086e-17	9.8655e-16	4.9212e-15	0.0000e+00	2.9094e-23	1.0128e-18	4.6871e-17	1.7342e-15	0.0000e+00	1.1796e-24	1.5708e-18	1.0577e-16	2.1681e-15	0.0000e+00	3.1147e-26	5.5230e-18	3.8694e-16	2.6029e-15	
1948	10	0.0000e+00	1.9495e-28	1.7354e-17	5.1905e-16	3.3634e-15	0.0000e+00	0.0000e+00	0.0000e+00	6.0338e-22	5.7209e-18	0.0000e+00	4.2673e-20	1.7425e-17	2.0931e-16	1.1362e-15	0.0000e+00	5.8411e-26	2.5534e-18	1.5215e-16	2.1799e-15	0.0000e+00	5.6524e-29	6.0295e-17	3.8419e-16	1.2169e-15	0.0000e+00	3.6903e-26	1.1850e-16	1.0007e-15	4.3871e-15	0.0000e+00	3.3107e-26	4.1041e-17	1.0120e-15	5.5682e-15	0.0000e+00	3.1256e-23	3.6280e-18	1.9083e-16	1.9840e-15	0.0000e+00	2.4292e-24	5.1432e-18	2.5423e-16	2.1048e-15	0.0000e+00	1.3340e-25	1.6791e-17	5.6133e-16	2.5328e-15	
1948	11	0.0000e+00	2.8598e-29	1.5234e-17	5.3012e-16	3.2400e-15	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.2055e-22	0.0000e+00	8.0356e-21	4.5908e-18	6.4838e-17	6.3038e-16	0.0000e+00	4.5669e-26	3.2232e-18	1.2744e-16	1.4641e-15	0.0000e+00	5.6393e-29	5.7881e-17	3.5469e-16	1.1900e-15	0.0000e+00	3.7245e-26	1.1806e-16	9.3004e-16	3.8520e-15	0.0000e+00	3.0638e-26	2.5201e-17	9.1089e-16	5.6080e-15	0.0000e+00	2.9410e-23	4.8628e-18	4.0375e-16	2.6938e-15	0.0000e+00	1.5272e-24	6.4376e-18	4.7067e-16	2.4431e-15	0.0000e+00	1.3113e-25	3.9197e-17	6.3726e-16	2.2921e-15	
1949	0	0.0000e+00	6.1083e-29	1.8101e-17	5.4695e-16	3.0540e-15	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.9802e-20	0.0000e+00	1.0756e-20	5.0923e-18	9.9211e-17	7.2725e-16	0.0000e+00	5.4491e-26	6.9589e-18	2.0378e-16	1.6598e-15	0.0000e+00	6.3235e-29	7.0013e-17	3.8762e-16	1.4899e-15	0.0000e+00	4.4681e-26	1.3690e-16	9.2058e-16	3.7966e-15	0.0000e+00	3.7995e-26	2.3139e-17	7.7432e-16	5.6022e-15	0.0000e+00	3.5678e-23	6.7027e-18	4.1607e-16	2.3151e-15	0.0000e+00	1.1989e-24	1.0992e-17	4.9896e-16	2.5008e-15	0.0000e+00	1.3960e-25	3.8595e-17	5.6623e-16	2.2199e-15	
1949	1	0.0000e+00	7.1364e-26	1.9321e-17	5.0635e-16	3.1409e-15	0.0000e+00	0.0000e+00	2.0511e-23	9.5356e-21	2.1761e-18	0.0000e+00	1.9930e-20	1.9283e-17	3.9792e-16	1.4999e-15	0.0000e+00	1.0500e-25	1.5482e-17	4.6808e-16	2.5231e-15	0.0000e+00	7.9730e-29	8.9759e-17	4.5521e-16	2.0484e-15	0.0000e+00	4.5638e-26	1.5204e-16	9.3483e-16	3.8657e-15	0.0000e+00	2.6784e-26	1.4998e-17	5.9642e-16	5.1281e-15	0.0000e+00	5.3685e-23	8.6268e-18	1.9439e-16	1.9930e-15	0.0000e+00	1.0797e-24	1.0999e-17	2.7630e-16	2.1397e-15	0.0000e+00	1.2920e-25	2.4866e-17	3.8069e-16	2.6948e-15	
1949	2	0.0000e+00	1.7256e-25	1.4836e-17	4.8528e-16	3.2955e-15	0.0000e+00	1.3331e-21	1.7166e-20	2.3915e-19	1.3631e-16	0.0000e+00	3.2169e-20	1.3149e-16	7.0196e-16	1.9508e-15	0.0000e+00	2.3030e-25	3.5038e-17	9.5433e-16	3.8744e-15	0.0000e+00	8.6560e-29	9.9129e-17	5.6218e-16	2.6869e-15	0.0000e+00	4.6658e-26	1.5718e-16	9.2455e-16	4.3822e-15	0.0000e+00	1.8180e-26	8.2202e-18	5.0093e-16	4.3918e-15	0.0000e+00	4.6263e-23	5.8588e-18	9.7961e-17	1.4781e-15	0.0000e+00	7.0008e-25	5.5245e-18	1.2562e-16	1.6854e-15	0.0000e+00	6.1648e-26	1.0805e-17	2.6109e-16	1.9297e-15	
1949	3	0.0000e+00	1.3540e-25	7.0301e-18	4.2721e-16	3.0773e-15	0.0000e+00	1.1489e-20	1.4505e-19	2.6390e-18	8.6111e-16	0.0000e+00	4.3263e-20	1.7814e-16	7.3598e-16	2.1074e-15	0.0000e+00	4.1018e-25	5.7849e-17	1.1149e-15	4.2297e-15	0.0000e+00	6.9450e-29	8.6796e-17	5.9353e-16	3.2200e-15	0.0000e+00	4.6421e-26	1.3883e-16	8.6915e-16	4.3337e-15	0.0000e+00	1.1512e-26	4.5248e-18	4.4383e-16	3.5809e-15	0.0000e+00	1.5592e-23	1.0388e-18	2.1742e-17	9.2597e-16	0.0000e+00	3.6338e-25	9.7194e-19	3.0997e-17	9.8468e-16	0.0000e+00	2.8421e-26	3.1552e-18	1.0518e-16	1.4549e-15	
1949	4	0.0000e+00	6.9412e-26	3.2959e-18	3.9046e-16	2.6687e-15	0.0000e+00	2.0686e-20	7.5533e-19	6.3477e-17	1.5425e-15	0.0000e+00	4.6115e-20	2.4345e-16	1.1358e-15	2.8856e-15	0.0000e+00	5.0195e-25	5.1745e-17	1.1274e-15	5.3469e-15	0.0000e+00	6.0357e-29	6.3413e-17	5.7305e-16	3.2005e-15	0.0000e+00	4.4152e-26	1.3437e-16	8.7137e-16	3.8526e-15	0.0000e+00	1.5229e-26	4.9790e-18	3.9335e-16	2.6203e-15	0.0000e+00	2.1006e-28	4.0366e-20	4.0871e-18	4.3004e-16	0.0000e+00	6.8095e-30	3.6314e-20	3.8836e-18	4.0429e-16	0.0000e+00	1.3953e-26	9.1699e-19	3.4193e-17	6.9420e-16	
