year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	7	3.3276e-16	5.4569e-15	1.9626e-14	3.8710e-14	6.6085e-14	2.8808e-16	2.8345e-15	9.4992e-15	1.8564e-14	3.9404e-14	2.2160e-15	2.4597e-14	3.7290e-14	4.5687e-14	5.3164e-14	7.9013e-09	3.0775e-08	4.2978e-08	5.5907e-08	1.4787e-07	2.3240e-15	1.4725e-14	2.4213e-14	3.5746e-14	5.3878e-14	5.9617e-15	3.4160e-14	4.4660e-14	5.8652e-14	8.6171e-14	2.7761e-15	1.2377e-14	2.2668e-14	3.2220e-14	5.1287e-14	2.8511e-16	4.0184e-16	5.0856e-16	5.2481e-15	1.4843e-14	2.2141e-16	3.5266e-16	5.7409e-16	4.2893e-15	1.1267e-14	2.4494e-16	5.3243e-16	2.6913e-15	7.3574e-15	1.8531e-14	
1948	8	3.2992e-16	8.5965e-15	2.2354e-14	4.0526e-14	7.0704e-14	9.0576e-16	3.3883e-15	6.5166e-15	1.3662e-14	3.2262e-14	1.9659e-15	2.3455e-14	3.1387e-14	3.9075e-14	4.6418e-14	7.1342e-09	2.8187e-08	3.8447e-08	5.8567e-08	1.1206e-07	2.8442e-15	1.3301e-14	2.1899e-14	3.1677e-14	4.6883e-14	6.2012e-15	3.4455e-14	4.7412e-14	6.1541e-14	8.5672e-14	3.9514e-15	1.7746e-14	2.6473e-14	3.7461e-14	5.5607e-14	2.6497e-16	3.8258e-16	5.1748e-16	1.5017e-14	4.4007e-14	2.2231e-16	3.5647e-16	5.7887e-16	1.5587e-14	2.8617e-14	2.6373e-16	6.5940e-16	7.3407e-15	1.6331e-14	7.0799e-14	
1948	9	3.4186e-16	9.7610e-15	2.2674e-14	4.1028e-14	6.6734e-14	6.3097e-16	1.0586e-15	2.5257e-15	4.5907e-15	1.3361e-14	1.8119e-15	1.6466e-14	2.1201e-14	2.4756e-14	3.0996e-14	7.6407e-09	2.4820e-08	3.7848e-08	5.3753e-08	7.4178e-08	2.7697e-15	1.1157e-14	1.9035e-14	2.5880e-14	3.8588e-14	6.3951e-15	3.3798e-14	4.6433e-14	5.9275e-14	7.9665e-14	4.8811e-15	1.9650e-14	3.0098e-14	4.3260e-14	6.0095e-14	2.6332e-16	4.0723e-16	5.9798e-16	1.5651e-14	3.8817e-14	2.1918e-16	3.2807e-16	1.9733e-15	1.9753e-14	4.4381e-14	2.9969e-16	2.3796e-15	1.8886e-14	2.7383e-14	5.2456e-14	
1948	10	3.8332e-16	9.6189e-15	2.0923e-14	3.6883e-14	6.6585e-14	3.7272e-16	4.7749e-16	6.8161e-16	1.3734e-15	4.8814e-15	1.7167e-15	6.7496e-15	1.0887e-14	1.3570e-14	1.6796e-14	5.9971e-09	2.1683e-08	3.0101e-08	3.7671e-08	5.0690e-08	2.5102e-15	8.7986e-15	1.6594e-14	2.2336e-14	3.4010e-14	6.2205e-15	3.2457e-14	4.2854e-14	5.7976e-14	8.1315e-14	4.5178e-15	1.8162e-14	2.6163e-14	4.2193e-14	6.5941e-14	2.0437e-16	2.9694e-16	9.7293e-15	2.2308e-14	2.6017e-14	2.2766e-16	4.1515e-16	1.0955e-14	2.0422e-14	2.8609e-14	4.6867e-16	1.5083e-14	2.0629e-14	2.3280e-14	3.0257e-14	
1948	11	5.0005e-16	1.0543e-14	2.2750e-14	3.4616e-14	6.4515e-14	2.4485e-16	3.2967e-16	3.9675e-16	5.1430e-16	1.4530e-15	9.6716e-16	3.0897e-15	4.8539e-15	7.1212e-15	1.0859e-14	4.9144e-09	1.3982e-08	1.9871e-08	2.5616e-08	3.6690e-08	2.1249e-15	7.9858e-15	1.5706e-14	2.1175e-14	3.2002e-14	5.9608e-15	3.1773e-14	4.0681e-14	5.6692e-14	8.1587e-14	4.2512e-15	1.7524e-14	2.4683e-14	3.8719e-14	5.9440e-14	2.7656e-16	1.5305e-15	1.9232e-14	2.5127e-14	3.1714e-14	3.3782e-16	9.9531e-15	1.9987e-14	2.5203e-14	3.0827e-14	5.5288e-15	2.0536e-14	2.5886e-14	2.8434e-14	3.2040e-14	
1949	0	6.7025e-16	1.3373e-14	2.2404e-14	3.4338e-14	6.6430e-14	2.1229e-16	2.5275e-16	3.2103e-16	4.1094e-16	7.2811e-16	3.9487e-16	9.9998e-16	2.1271e-15	5.4249e-15	9.0148e-15	3.9656e-09	9.7141e-09	1.6907e-08	2.3072e-08	4.1858e-08	2.1525e-15	9.0214e-15	1.7477e-14	2.5824e-14	3.8793e-14	5.7766e-15	3.0927e-14	4.1159e-14	5.9405e-14	8.2092e-14	4.0887e-15	1.7679e-14	2.4498e-14	3.6922e-14	5.6229e-14	1.9460e-15	1.4515e-14	2.0375e-14	2.4670e-14	3.2846e-14	5.6063e-15	1.6822e-14	2.0785e-14	2.4676e-14	3.5093e-14	6.2329e-15	1.5973e-14	2.0359e-14	2.3167e-14	2.7849e-14	
1949	1	6.2291e-16	1.1887e-14	1.9278e-14	3.5772e-14	6.8120e-14	2.0652e-16	2.3663e-16	3.3009e-16	4.0657e-16	7.7183e-16	3.4370e-16	8.2585e-16	2.5074e-15	7.0786e-15	1.2365e-14	2.7961e-09	1.3308e-08	2.4222e-08	4.0963e-08	7.9910e-08	2.3281e-15	1.1820e-14	2.1758e-14	3.0066e-14	4.6666e-14	5.9284e-15	3.2389e-14	4.5272e-14	6.2504e-14	8.3100e-14	4.0116e-15	1.5088e-14	2.2883e-14	3.7018e-14	5.5033e-14	6.1666e-15	1.0085e-14	1.4173e-14	1.7934e-14	2.1036e-14	5.5075e-15	1.1811e-14	1.5055e-14	1.8085e-14	2.2811e-14	5.4933e-15	1.3486e-14	1.7656e-14	2.0854e-14	2.5648e-14	
1949	2	7.3152e-16	9.7743e-15	1.6495e-14	3.7484e-14	7.0998e-14	1.6707e-16	1.8213e-16	2.7629e-16	3.9285e-16	1.9166e-15	4.3044e-16	2.5964e-15	1.0099e-14	1.7301e-14	2.4868e-14	4.1631e-09	2.9057e-08	4.1794e-08	6.7784e-08	1.1796e-07	2.6586e-15	1.4584e-14	2.5557e-14	3.5365e-14	5.4336e-14	6.0700e-15	3.3541e-14	4.7797e-14	6.4797e-14	8.5259e-14	3.9159e-15	1.3830e-14	2.1123e-14	3.4123e-14	5.3046e-14	2.3154e-15	3.2789e-15	6.8281e-15	1.2774e-14	1.5532e-14	3.6866e-15	5.0547e-15	9.4307e-15	1.2166e-14	1.5165e-14	4.2663e-15	1.0602e-14	1.2500e-14	1.4250e-14	1.5788e-14	
1949	3	8.6118e-16	7.5233e-15	1.7367e-14	3.7494e-14	6.7137e-14	1.9354e-16	2.1070e-16	2.7067e-16	4.6323e-16	1.0943e-14	1.2313e-15	7.7285e-15	1.2710e-14	2.2443e-14	3.2781e-14	1.1006e-08	3.6679e-08	6.0432e-08	8.7544e-08	1.1434e-07	3.0750e-15	1.5916e-14	2.9921e-14	3.9509e-14	5.7480e-14	5.9641e-15	3.2158e-14	4.7327e-14	6.1774e-14	8.1289e-14	3.7468e-15	1.3447e-14	2.1314e-14	3.0460e-14	4.6972e-14	9.3285e-16	1.2051e-15	5.4875e-15	8.6342e-15	1.0951e-14	9.8939e-16	1.3891e-15	5.1244e-15	8.1027e-15	1.1141e-14	3.0840e-15	6.0721e-15	8.3164e-15	9.7344e-15	1.3124e-14	
1949	4	6.1177e-16	5.4569e-15	1.7084e-14	3.5770e-14	6.4252e-14	1.7526e-16	1.8843e-16	2.7555e-16	1.9333e-15	1.8944e-14	3.8372e-15	1.2848e-14	2.2340e-14	2.9820e-14	3.8365e-14	1.3639e-08	4.1910e-08	6.3089e-08	9.4084e-08	1.3397e-07	2.8881e-15	1.4022e-14	2.7644e-14	3.9606e-14	5.9192e-14	5.8411e-15	3.0377e-14	4.3051e-14	5.9220e-14	7.8376e-14	3.5362e-15	1.1423e-14	1.8595e-14	2.8175e-14	4.4381e-14	5.1969e-16	7.7143e-16	1.6410e-15	5.6956e-15	8.5903e-15	5.2847e-16	8.4130e-16	1.8785e-15	5.9676e-15	8.2265e-15	8.9700e-16	1.9357e-15	5.2010e-15	6.9820e-15	1.1879e-14	
