year	month	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	7	-5.3224e-14	-2.8269e-15	2.0060e-15	1.2732e-14	3.0759e-14	-9.0142e-16	1.3516e-15	2.7120e-15	7.5291e-15	1.9283e-14	-1.2748e-14	-5.3619e-15	1.7842e-15	1.2726e-14	2.4366e-14	-1.0286e-14	-3.1718e-15	4.3807e-15	1.2770e-14	2.5174e-14	-1.7695e-14	-1.0286e-14	-2.3379e-16	4.8909e-15	1.3710e-14	-1.1069e-13	-3.7604e-14	-5.2119e-15	4.6510e-15	1.9863e-14	-8.7115e-15	2.8546e-15	1.2627e-14	2.3011e-14	3.7528e-14	4.5416e-17	9.5394e-17	3.9045e-16	2.2626e-14	4.4318e-14	-1.2777e-17	1.1270e-16	1.3119e-15	1.6503e-14	2.9776e-14	2.0278e-16	5.8043e-16	7.5134e-15	2.2604e-14	3.3457e-14	
1948	8	-5.7274e-14	-1.2797e-15	2.7071e-15	1.4374e-14	3.6360e-14	4.5338e-16	1.1625e-15	2.4328e-15	9.5240e-15	2.9769e-14	-9.9106e-16	7.8342e-15	1.3384e-14	2.0157e-14	3.5994e-14	-6.1607e-15	1.3927e-15	7.0477e-15	1.4205e-14	3.0696e-14	-1.8746e-14	-9.9628e-15	2.0199e-15	7.6751e-15	1.4827e-14	-1.1130e-13	-4.1325e-14	-5.5994e-15	3.6756e-15	1.8173e-14	-7.5549e-15	3.9217e-15	1.2894e-14	2.2457e-14	3.7447e-14	6.4360e-17	1.2576e-16	5.4129e-16	1.9676e-14	4.6155e-14	-1.2111e-16	1.1015e-16	1.7623e-15	2.1325e-14	4.1099e-14	1.6829e-16	6.7927e-16	9.0312e-15	2.8921e-14	6.4141e-14	
1948	9	-4.6946e-14	-5.2194e-17	4.2251e-15	1.8368e-14	3.8379e-14	4.5930e-17	2.1099e-16	5.1534e-16	6.5051e-15	3.6294e-14	8.9257e-15	2.5448e-14	3.2511e-14	4.1351e-14	5.5115e-14	-1.8419e-15	7.3454e-15	1.9292e-14	3.1091e-14	4.4165e-14	-1.4475e-14	-1.1704e-15	1.1414e-14	2.0905e-14	3.2818e-14	-7.8039e-14	-3.6245e-14	-4.2786e-15	2.5049e-15	1.6106e-14	-5.4174e-15	6.3819e-15	1.3064e-14	2.1894e-14	3.3443e-14	9.7395e-17	3.0168e-16	1.8425e-15	2.8297e-14	4.9619e-14	-1.4994e-16	1.5071e-16	2.6597e-15	2.0175e-14	4.1643e-14	4.7427e-16	1.6597e-15	1.0158e-14	2.0827e-14	4.6900e-14	
1948	10	-4.3983e-14	1.1759e-16	5.9850e-15	1.8145e-14	3.9748e-14	-3.0065e-16	9.2625e-17	2.2519e-16	1.3262e-15	3.9671e-14	1.3954e-14	2.5071e-14	3.8843e-14	5.7134e-14	7.6413e-14	8.2695e-15	1.9849e-14	2.9996e-14	4.3154e-14	6.2267e-14	-6.8062e-15	9.4162e-15	2.3426e-14	3.4855e-14	4.5704e-14	-7.4563e-14	-3.1605e-14	-2.8496e-15	3.8728e-15	2.1106e-14	-2.4849e-15	6.3655e-15	1.4152e-14	2.2529e-14	3.4394e-14	5.9711e-17	4.3602e-16	5.2831e-15	1.1745e-14	2.7142e-14	-1.2436e-16	4.1677e-16	3.4541e-15	1.0479e-14	1.9227e-14	5.5007e-16	3.4282e-15	9.8319e-15	1.5378e-14	3.1828e-14	
1948	11	-4.3164e-14	-7.2499e-17	5.0190e-15	1.7729e-14	4.4107e-14	-1.3444e-16	6.8399e-17	1.4028e-16	6.6380e-16	3.9608e-14	2.9525e-15	3.6515e-14	5.0421e-14	5.9323e-14	6.9954e-14	1.5103e-14	2.3399e-14	3.1238e-14	4.2902e-14	6.1517e-14	4.7373e-17	1.4363e-14	2.4103e-14	3.8883e-14	5.5634e-14	-8.3241e-14	-3.0921e-14	-2.2352e-15	5.1913e-15	2.1975e-14	-7.2397e-15	4.2008e-15	1.1793e-14	2.0584e-14	3.3513e-14	-2.1962e-15	4.1024e-16	3.2782e-15	9.4825e-15	2.2342e-14	-6.5197e-15	2.5792e-17	3.1051e-15	7.9520e-15	1.9387e-14	-4.8232e-15	-2.5316e-17	4.6025e-15	1.0081e-14	2.6798e-14	
1949	0	-3.9987e-14	-2.5799e-15	4.4132e-15	1.6342e-14	4.4155e-14	-4.2097e-16	2.0084e-17	7.4722e-17	5.0538e-16	3.7958e-14	1.3298e-15	2.1144e-14	4.8783e-14	6.3968e-14	8.0280e-14	2.4859e-15	2.1449e-14	3.2407e-14	4.8121e-14	6.4560e-14	6.2444e-15	1.6830e-14	2.8607e-14	4.0261e-14	5.8829e-14	-7.6532e-14	-3.2749e-14	-3.7927e-15	5.2277e-15	2.2966e-14	-1.0171e-14	1.0249e-15	8.3048e-15	1.6726e-14	2.8828e-14	-1.0766e-14	-3.7534e-16	3.9724e-15	1.3105e-14	2.5441e-14	-1.4734e-14	-6.1606e-15	3.7104e-15	1.0373e-14	2.0029e-14	-8.9265e-15	-4.1481e-15	7.3439e-16	8.5946e-15	1.8431e-14	
1949	1	-3.9608e-14	-2.4521e-15	3.4012e-15	1.4180e-14	4.1915e-14	-7.4556e-16	1.3561e-17	7.5254e-17	4.7212e-16	3.8558e-14	1.0059e-15	1.5325e-14	4.0002e-14	5.3108e-14	6.9038e-14	1.4655e-16	1.4099e-14	2.3319e-14	3.9902e-14	5.2882e-14	3.4051e-15	1.5313e-14	2.6803e-14	4.1224e-14	6.0728e-14	-6.3895e-14	-3.3256e-14	-5.0073e-15	3.4126e-15	2.0079e-14	-9.1686e-15	-6.2583e-16	7.2165e-15	1.5288e-14	2.9667e-14	-8.1010e-15	9.1080e-17	3.4095e-15	9.6353e-15	1.8985e-14	-1.5418e-14	-5.0532e-15	4.2482e-15	1.0531e-14	1.8903e-14	-4.2185e-15	-8.8901e-16	2.2225e-15	7.9434e-15	1.6319e-14	
1949	2	-3.5282e-14	-6.5442e-16	4.9700e-15	1.4397e-14	3.6092e-14	-7.6007e-16	1.5106e-17	4.7359e-17	4.2414e-16	3.6432e-14	1.2104e-15	1.3259e-14	3.5101e-14	4.8332e-14	8.1835e-14	-6.0073e-16	8.9026e-15	2.4960e-14	3.8184e-14	5.3981e-14	2.8305e-15	1.2060e-14	2.1798e-14	3.3102e-14	5.4438e-14	-6.3398e-14	-2.8012e-14	-5.3090e-15	1.3727e-15	1.1887e-14	-7.7687e-15	1.9457e-15	8.6359e-15	1.7470e-14	2.8254e-14	1.7043e-16	1.8013e-15	5.5643e-15	9.0151e-15	1.7233e-14	-7.5107e-15	1.2198e-15	5.9136e-15	1.1802e-14	2.0813e-14	1.2528e-15	6.2450e-15	9.5501e-15	1.3581e-14	2.1287e-14	
1949	3	-2.9396e-14	6.4757e-17	6.8838e-15	1.8844e-14	3.7482e-14	-6.7190e-16	2.4741e-17	9.3745e-17	4.2420e-16	4.6389e-14	1.0506e-15	1.4486e-14	2.6012e-14	3.8142e-14	5.2385e-14	-2.2749e-15	1.0492e-14	2.6357e-14	3.7945e-14	5.1494e-14	3.0911e-15	1.0276e-14	1.9548e-14	3.3156e-14	5.2055e-14	-5.1607e-14	-2.3336e-14	-4.9111e-15	1.6392e-15	1.0958e-14	-1.8762e-15	5.6721e-15	1.3045e-14	2.2553e-14	3.5593e-14	1.1567e-16	8.4466e-16	9.5437e-15	1.6090e-14	2.2478e-14	2.4099e-16	2.2312e-15	1.0401e-14	1.5871e-14	2.6122e-14	1.8001e-15	1.0823e-14	2.0145e-14	2.2869e-14	2.6919e-14	
1949	4	-3.1087e-14	1.7914e-16	5.7576e-15	1.8460e-14	3.2925e-14	-4.4835e-15	8.7981e-18	1.5502e-16	1.1128e-15	2.6718e-14	7.1642e-16	7.5931e-15	1.0485e-14	2.5372e-14	3.7574e-14	1.1423e-15	8.3908e-15	1.5752e-14	2.2874e-14	3.7437e-14	-1.6707e-15	5.6313e-15	1.2870e-14	2.1355e-14	3.3340e-14	-4.7679e-14	-2.3402e-14	-2.8376e-15	2.3432e-15	1.4908e-14	1.1213e-15	9.0507e-15	1.7866e-14	2.8235e-14	4.1461e-14	1.3238e-16	2.7088e-16	1.9866e-15	1.9629e-14	3.1707e-14	1.4064e-16	6.4994e-16	1.0270e-14	1.9907e-14	2.6935e-14	7.1873e-16	4.9923e-15	1.6669e-14	2.2604e-14	3.1096e-14	
