month	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	7	0.0000e+00	1.3529e-25	3.5287e-18	4.5440e-16	2.9241e-15	0.0000e+00	1.5137e-20	1.0490e-17	1.6872e-16	1.8286e-15	0.0000e+00	2.0875e-19	1.0880e-16	1.0395e-15	4.3621e-15	0.0000e+00	1.8611e-25	9.7381e-18	4.8244e-16	6.5916e-15	0.0000e+00	7.8201e-29	7.2343e-17	5.8319e-16	2.8922e-15	0.0000e+00	4.0937e-26	1.5594e-16	1.1193e-15	4.2368e-15	0.0000e+00	5.1239e-26	3.8561e-17	5.5745e-16	2.3877e-15	0.0000e+00	2.3001e-24	1.7826e-20	4.6674e-19	6.2660e-16	0.0000e+00	8.1939e-26	2.3731e-20	1.2995e-18	6.3692e-16	0.0000e+00	6.0080e-27	2.7255e-19	1.0445e-17	1.1984e-15	
1948	8	0.0000e+00	1.5636e-25	5.9188e-18	5.1278e-16	3.3939e-15	0.0000e+00	5.8624e-21	4.2916e-18	4.6377e-17	9.7614e-16	0.0000e+00	1.8981e-19	5.8219e-17	7.6871e-16	3.8639e-15	0.0000e+00	1.5186e-25	6.0162e-18	3.5352e-16	5.2769e-15	0.0000e+00	7.3857e-29	7.5493e-17	5.3723e-16	2.3688e-15	0.0000e+00	4.1299e-26	1.5586e-16	1.2248e-15	4.7900e-15	0.0000e+00	5.7628e-26	5.2089e-17	8.2533e-16	3.4467e-15	0.0000e+00	1.5587e-23	1.7498e-19	2.4599e-18	1.4233e-15	0.0000e+00	1.8115e-25	1.4070e-19	4.7161e-18	1.5965e-15	0.0000e+00	5.7164e-27	5.4633e-19	4.0105e-17	2.1042e-15	
1948	9	0.0000e+00	1.6801e-25	7.4563e-18	5.1544e-16	3.4809e-15	0.0000e+00	2.2159e-23	4.1127e-20	1.1022e-18	1.6204e-16	0.0000e+00	1.2849e-19	3.1030e-17	3.8689e-16	2.1050e-15	0.0000e+00	1.2226e-25	4.3203e-18	1.9954e-16	3.1846e-15	0.0000e+00	6.0887e-29	6.9491e-17	4.6226e-16	1.9385e-15	0.0000e+00	3.5410e-26	1.4403e-16	1.2874e-15	5.0272e-15	0.0000e+00	4.8459e-26	4.6745e-17	9.3030e-16	4.8241e-15	0.0000e+00	4.0665e-23	8.8101e-19	1.8413e-17	1.5285e-15	0.0000e+00	9.8019e-25	8.5660e-19	4.7097e-17	1.4908e-15	0.0000e+00	4.4334e-26	1.4589e-18	1.8778e-16	2.4691e-15	
1948	10	0.0000e+00	2.3835e-26	9.8701e-18	5.0251e-16	3.4807e-15	0.0000e+00	3.7363e-30	2.7704e-26	5.4043e-22	3.0128e-18	0.0000e+00	3.8494e-20	9.5182e-18	1.2798e-16	8.8434e-16	0.0000e+00	6.5346e-26	2.2048e-18	9.9591e-17	1.8371e-15	0.0000e+00	5.2083e-29	5.6430e-17	3.9806e-16	1.5291e-15	0.0000e+00	2.9688e-26	1.2970e-16	1.2269e-15	5.0819e-15	0.0000e+00	3.3508e-26	3.4239e-17	9.8831e-16	5.4834e-15	0.0000e+00	4.0741e-23	1.8983e-18	9.1140e-17	2.1999e-15	0.0000e+00	1.3537e-24	2.2273e-18	1.7772e-16	1.7446e-15	0.0000e+00	9.0124e-26	3.7834e-18	4.6888e-16	1.9644e-15	
1948	11	0.0000e+00	2.8547e-28	9.3388e-18	5.3957e-16	3.4877e-15	0.0000e+00	1.0535e-32	1.3639e-29	2.6649e-26	1.1263e-21	0.0000e+00	3.1979e-21	2.4465e-18	3.8980e-17	5.5109e-16	0.0000e+00	6.5929e-26	2.0157e-18	7.6031e-17	1.0737e-15	0.0000e+00	5.1856e-29	5.2256e-17	3.5218e-16	1.3410e-15	0.0000e+00	3.3617e-26	1.3286e-16	1.2069e-15	4.9405e-15	0.0000e+00	3.0035e-26	2.3776e-17	9.9384e-16	5.7372e-15	0.0000e+00	3.2807e-23	2.5324e-18	2.3506e-16	2.4612e-15	0.0000e+00	6.6180e-25	3.0573e-18	3.7828e-16	2.3715e-15	0.0000e+00	9.7249e-26	9.7854e-18	5.3258e-16	2.5147e-15	
1949	0	0.0000e+00	1.1475e-27	1.2326e-17	5.5460e-16	3.2606e-15	0.0000e+00	5.6186e-32	8.3772e-29	5.0642e-25	4.0162e-20	0.0000e+00	3.2547e-21	2.0255e-18	3.3894e-17	5.0389e-16	0.0000e+00	8.3418e-26	2.5450e-18	9.2979e-17	1.1619e-15	0.0000e+00	5.8837e-29	7.0616e-17	4.0886e-16	1.4655e-15	0.0000e+00	4.1920e-26	1.4555e-16	1.1690e-15	4.7076e-15	0.0000e+00	3.7698e-26	2.3517e-17	8.3723e-16	5.5805e-15	0.0000e+00	3.9123e-23	3.6394e-18	2.7008e-16	2.4063e-15	0.0000e+00	8.7946e-25	6.8481e-18	4.0042e-16	2.2172e-15	0.0000e+00	1.3513e-25	2.0573e-17	4.8644e-16	2.1313e-15	
1949	1	0.0000e+00	1.0489e-25	1.4925e-17	5.2998e-16	3.2928e-15	0.0000e+00	4.5406e-27	2.5225e-23	1.1810e-20	1.3678e-18	0.0000e+00	6.0566e-21	4.0894e-18	1.5078e-16	1.1732e-15	0.0000e+00	1.3559e-25	5.1430e-18	2.2810e-16	2.1289e-15	0.0000e+00	6.6864e-29	8.3312e-17	4.5488e-16	2.0070e-15	0.0000e+00	4.9279e-26	1.6465e-16	1.1466e-15	4.8867e-15	0.0000e+00	3.4241e-26	1.9197e-17	6.9882e-16	5.1722e-15	0.0000e+00	5.3648e-23	4.9415e-18	1.7409e-16	1.8410e-15	0.0000e+00	7.5555e-25	7.6056e-18	2.3405e-16	2.0076e-15	0.0000e+00	1.4302e-25	1.9436e-17	3.2318e-16	2.3435e-15	
1949	2	0.0000e+00	1.6115e-25	1.2248e-17	4.9481e-16	3.3520e-15	0.0000e+00	3.1142e-22	2.2850e-20	1.6977e-19	5.0950e-17	0.0000e+00	1.6901e-20	2.1175e-17	4.1949e-16	1.6273e-15	0.0000e+00	2.2398e-25	1.3371e-17	5.6413e-16	3.1078e-15	0.0000e+00	8.0407e-29	9.7045e-17	5.9860e-16	2.5396e-15	0.0000e+00	4.8748e-26	1.5996e-16	1.1821e-15	5.4198e-15	0.0000e+00	2.8862e-26	1.3422e-17	5.9692e-16	4.4259e-15	0.0000e+00	3.4503e-23	2.5194e-18	6.3468e-17	1.2459e-15	0.0000e+00	4.9100e-25	3.9897e-18	9.2158e-17	1.2200e-15	0.0000e+00	8.1287e-26	9.4705e-18	1.9015e-16	1.4258e-15	
1949	3	0.0000e+00	1.3890e-25	5.1516e-18	4.3474e-16	3.2491e-15	0.0000e+00	3.1732e-21	1.9712e-19	1.9864e-18	5.7544e-16	0.0000e+00	2.2528e-20	9.3900e-17	5.6820e-16	1.9047e-15	0.0000e+00	3.2356e-25	3.2445e-17	9.4860e-16	3.5870e-15	0.0000e+00	6.8980e-29	9.5467e-17	6.2141e-16	3.2701e-15	0.0000e+00	4.4086e-26	1.4509e-16	1.1076e-15	5.4148e-15	0.0000e+00	2.1250e-26	8.0316e-18	4.8940e-16	3.5418e-15	0.0000e+00	1.1962e-23	3.7754e-19	1.1409e-17	7.2064e-16	0.0000e+00	2.5181e-25	4.1820e-19	1.7641e-17	7.5645e-16	0.0000e+00	3.5904e-26	2.7198e-18	5.5320e-17	1.1129e-15	
1949	4	0.0000e+00	1.0158e-25	2.4342e-18	4.0477e-16	2.9322e-15	0.0000e+00	5.8561e-21	8.0512e-19	2.3517e-17	1.1241e-15	0.0000e+00	3.6925e-20	1.6059e-16	9.1187e-16	2.5379e-15	0.0000e+00	4.1726e-25	4.3889e-17	1.0251e-15	4.4510e-15	0.0000e+00	6.3474e-29	7.3478e-17	6.5845e-16	3.7808e-15	0.0000e+00	4.4108e-26	1.3821e-16	1.0188e-15	5.0366e-15	0.0000e+00	1.9562e-26	6.8115e-18	4.3147e-16	2.5519e-15	0.0000e+00	9.5531e-26	7.4891e-21	1.8117e-18	3.4808e-16	0.0000e+00	1.8546e-26	1.1125e-20	2.4682e-18	3.3644e-16	0.0000e+00	8.9851e-27	4.7897e-19	1.2114e-17	5.8997e-16	
