month	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1988	7	0.0000e+00	1.3727e-25	8.4257e-18	4.6559e-16	2.6061e-15	0.0000e+00	3.7631e-20	3.1839e-17	2.8218e-16	1.9925e-15	0.0000e+00	6.3453e-19	1.4230e-16	1.0633e-15	3.7539e-15	0.0000e+00	6.1503e-25	9.8510e-18	6.5095e-16	5.0267e-15	0.0000e+00	8.0930e-29	7.8080e-17	5.3334e-16	1.9758e-15	0.0000e+00	4.6480e-26	1.6157e-16	9.4788e-16	3.6475e-15	0.0000e+00	5.5430e-26	4.4780e-17	5.9134e-16	2.2996e-15	0.0000e+00	4.4774e-24	6.9351e-20	1.2203e-18	7.0672e-16	0.0000e+00	1.8874e-25	1.1131e-19	6.8616e-18	8.5521e-16	0.0000e+00	1.4513e-26	7.4615e-19	4.7255e-17	1.3774e-15	
1988	8	0.0000e+00	1.6987e-25	1.2337e-17	5.0980e-16	3.0707e-15	0.0000e+00	2.8848e-20	5.5851e-18	6.3173e-17	9.6942e-16	0.0000e+00	2.4010e-19	9.1969e-17	8.8115e-16	3.1220e-15	0.0000e+00	3.9062e-25	4.6059e-18	3.6462e-16	4.3519e-15	0.0000e+00	8.7710e-29	8.2182e-17	4.7790e-16	1.7613e-15	0.0000e+00	4.6489e-26	1.5877e-16	1.0224e-15	4.0641e-15	0.0000e+00	5.5437e-26	5.8294e-17	8.1475e-16	3.3065e-15	0.0000e+00	1.6081e-23	4.0617e-19	7.1795e-18	1.3827e-15	0.0000e+00	4.0351e-25	6.4796e-19	3.3426e-17	1.7071e-15	0.0000e+00	8.9372e-27	1.5151e-18	1.3243e-16	2.8574e-15	
1988	9	0.0000e+00	1.4535e-25	1.5681e-17	5.2357e-16	3.2592e-15	0.0000e+00	1.5686e-23	2.7821e-20	2.5080e-18	2.2470e-16	0.0000e+00	1.1163e-19	4.7120e-17	5.0309e-16	2.0070e-15	0.0000e+00	1.3443e-25	1.7712e-18	1.3422e-16	3.4168e-15	0.0000e+00	7.2584e-29	6.9572e-17	4.2964e-16	1.4908e-15	0.0000e+00	4.1036e-26	1.4992e-16	1.0423e-15	4.3386e-15	0.0000e+00	3.8755e-26	4.8998e-17	9.4321e-16	4.3574e-15	0.0000e+00	4.1788e-23	1.8489e-18	5.7872e-17	1.4152e-15	0.0000e+00	9.6548e-25	2.3372e-18	1.3498e-16	2.1867e-15	0.0000e+00	2.0984e-26	5.0191e-18	3.8668e-16	3.0628e-15	
1988	10	0.0000e+00	2.0273e-28	1.8493e-17	5.2396e-16	3.1925e-15	0.0000e+00	0.0000e+00	0.0000e+00	6.0386e-22	3.3575e-18	0.0000e+00	2.6905e-20	1.4970e-17	1.6691e-16	1.2074e-15	0.0000e+00	7.9525e-26	9.5510e-19	9.9858e-17	2.0551e-15	0.0000e+00	5.9911e-29	5.5473e-17	3.8696e-16	1.3108e-15	0.0000e+00	3.6825e-26	1.3539e-16	9.7734e-16	4.1708e-15	0.0000e+00	3.9465e-26	3.6484e-17	9.4208e-16	5.1921e-15	0.0000e+00	2.4031e-23	3.6808e-18	2.7721e-16	2.2368e-15	0.0000e+00	2.0548e-24	1.0280e-17	3.2246e-16	2.1748e-15	0.0000e+00	1.6314e-25	1.8077e-17	5.2946e-16	2.3752e-15	
1988	11	0.0000e+00	3.2216e-29	1.6404e-17	5.2309e-16	3.1762e-15	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.2571e-23	0.0000e+00	4.4568e-21	4.6386e-18	5.6277e-17	6.5038e-16	0.0000e+00	3.4819e-26	9.3748e-19	8.9173e-17	1.3530e-15	0.0000e+00	5.6290e-29	5.5730e-17	3.5667e-16	1.2364e-15	0.0000e+00	3.9530e-26	1.3589e-16	9.5825e-16	3.8759e-15	0.0000e+00	3.3561e-26	2.6046e-17	8.6513e-16	5.2649e-15	0.0000e+00	2.6735e-23	4.9554e-18	4.6036e-16	3.0615e-15	0.0000e+00	1.1245e-24	1.1168e-17	4.3949e-16	2.8197e-15	0.0000e+00	2.8699e-25	3.9685e-17	4.9678e-16	2.3545e-15	
1989	0	0.0000e+00	7.1679e-29	2.0148e-17	5.3438e-16	2.8834e-15	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.9684e-20	0.0000e+00	6.6492e-21	5.7682e-18	9.9307e-17	9.2492e-16	0.0000e+00	5.4541e-26	2.5032e-18	1.3952e-16	1.3048e-15	0.0000e+00	6.0601e-29	7.1487e-17	3.7222e-16	1.3933e-15	0.0000e+00	4.2658e-26	1.4374e-16	9.7497e-16	3.8405e-15	0.0000e+00	3.6185e-26	2.1593e-17	7.6161e-16	5.2732e-15	0.0000e+00	5.6777e-23	1.5214e-17	5.2295e-16	2.3761e-15	0.0000e+00	1.5062e-24	1.7639e-17	4.2766e-16	2.1874e-15	0.0000e+00	3.3662e-25	3.4880e-17	5.1491e-16	1.8784e-15	
1989	1	0.0000e+00	7.1966e-26	1.8419e-17	4.9631e-16	2.8782e-15	0.0000e+00	0.0000e+00	1.8635e-23	5.7601e-21	1.7592e-18	0.0000e+00	1.0937e-20	1.8523e-17	4.6200e-16	1.8170e-15	0.0000e+00	1.4552e-25	7.1553e-18	3.3257e-16	2.7854e-15	0.0000e+00	7.6466e-29	9.0813e-17	4.4536e-16	1.8163e-15	0.0000e+00	4.7455e-26	1.6288e-16	1.0009e-15	3.8902e-15	0.0000e+00	2.5411e-26	1.2803e-17	5.9911e-16	4.6614e-15	0.0000e+00	6.8711e-23	1.1505e-17	2.1556e-16	1.7496e-15	0.0000e+00	1.5003e-24	9.7011e-18	2.3459e-16	1.7600e-15	0.0000e+00	2.6379e-25	2.7702e-17	4.1445e-16	1.9544e-15	
1989	2	0.0000e+00	1.9678e-25	1.6179e-17	4.6441e-16	3.0101e-15	0.0000e+00	7.0745e-22	1.0071e-20	1.1858e-19	1.0689e-16	0.0000e+00	1.7176e-20	1.3726e-16	6.5830e-16	1.7665e-15	0.0000e+00	6.8428e-25	2.2432e-17	8.4796e-16	4.8646e-15	0.0000e+00	9.2465e-29	9.7861e-17	5.3341e-16	2.2517e-15	0.0000e+00	5.3480e-26	1.5769e-16	1.0499e-15	4.2775e-15	0.0000e+00	2.2483e-26	7.2319e-18	5.0125e-16	3.7385e-15	0.0000e+00	6.7072e-23	7.8920e-18	9.3952e-17	1.1889e-15	0.0000e+00	1.2688e-24	5.7227e-18	1.2957e-16	1.0976e-15	0.0000e+00	1.6918e-25	1.3975e-17	2.9500e-16	1.4400e-15	
1989	3	0.0000e+00	1.5374e-25	8.1433e-18	4.1472e-16	2.8091e-15	0.0000e+00	1.0817e-20	1.3124e-19	1.7305e-18	6.0613e-16	0.0000e+00	2.6058e-20	1.6314e-16	7.7341e-16	2.0386e-15	0.0000e+00	2.2148e-24	4.4746e-17	9.2926e-16	4.9934e-15	0.0000e+00	8.5279e-29	9.1449e-17	5.9112e-16	2.7431e-15	0.0000e+00	5.0235e-26	1.3873e-16	9.7291e-16	4.1902e-15	0.0000e+00	1.2751e-26	4.0088e-18	4.4277e-16	2.8791e-15	0.0000e+00	2.4583e-23	1.6082e-18	2.3811e-17	7.1191e-16	0.0000e+00	6.8687e-25	1.3586e-18	3.7859e-17	6.7047e-16	0.0000e+00	6.9494e-26	5.0453e-18	1.2678e-16	1.0899e-15	
1989	4	0.0000e+00	8.1139e-26	3.5306e-18	3.8948e-16	2.4305e-15	0.0000e+00	1.8158e-20	5.8095e-19	5.1921e-17	1.5044e-15	0.0000e+00	3.1879e-20	2.3015e-16	7.4668e-16	1.9768e-15	0.0000e+00	4.0393e-24	4.6110e-17	1.0700e-15	4.1710e-15	0.0000e+00	7.3498e-29	7.6157e-17	6.3075e-16	3.0087e-15	0.0000e+00	4.6344e-26	1.3463e-16	9.2066e-16	3.7614e-15	0.0000e+00	1.4829e-26	4.3489e-18	3.9790e-16	2.0716e-15	0.0000e+00	1.9617e-28	4.1290e-20	4.1233e-18	3.2718e-16	0.0000e+00	9.2747e-30	5.9534e-20	6.0020e-18	3.1604e-16	0.0000e+00	2.7345e-26	1.1214e-18	3.6660e-17	5.6698e-16	
