year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
2006	4.9988e-01	5.2414e-01	6.0338e-01	7.7928e-01	6.6817e-01	5.0613e-01	4.4303e-01	2.0925e-01	2.5121e-01	2.2497e-01	2.5568e+02	2.9947e+02	2.1005e+02	5.5831e+02	1.7136e+02	1.9855e+02	3.0264e+02	2.6674e+02	2.7875e+02	2.6804e+02	
2007	4.9978e-01	5.2638e-01	5.9987e-01	7.8546e-01	6.6864e-01	5.0645e-01	4.4147e-01	2.0860e-01	2.4754e-01	2.2309e-01	2.5290e+02	2.4831e+02	2.2669e+02	5.3976e+02	1.7752e+02	2.0306e+02	2.9818e+02	2.6463e+02	2.6037e+02	2.5537e+02	
2008	4.9918e-01	5.2426e-01	6.1586e-01	7.8717e-01	6.7119e-01	5.0390e-01	4.4116e-01	2.0338e-01	2.3967e-01	2.2283e-01	2.5683e+02	2.4100e+02	2.6388e+02	5.4616e+02	1.7978e+02	2.0375e+02	3.0466e+02	2.6476e+02	2.6091e+02	2.6875e+02	
2009	4.9982e-01	5.2277e-01	6.4210e-01	7.9550e-01	6.6786e-01	5.0084e-01	4.4622e-01	2.0407e-01	2.3537e-01	2.2448e-01	2.5382e+02	2.4754e+02	2.6177e+02	5.3715e+02	1.7175e+02	1.9772e+02	3.0908e+02	2.5186e+02	2.5363e+02	2.6310e+02	
2010	5.0091e-01	5.2281e-01	6.2411e-01	7.8931e-01	6.6378e-01	5.0462e-01	4.4959e-01	2.0296e-01	2.3846e-01	2.2765e-01	2.5709e+02	2.2115e+02	2.2263e+02	5.4740e+02	1.7994e+02	2.0040e+02	3.0906e+02	2.7080e+02	2.7368e+02	2.7902e+02	
2011	5.0143e-01	5.1816e-01	5.8985e-01	8.0297e-01	6.7359e-01	5.0645e-01	4.4489e-01	2.0385e-01	2.3762e-01	2.2951e-01	2.5642e+02	2.5188e+02	2.0348e+02	5.4240e+02	1.8801e+02	2.0354e+02	3.0519e+02	2.5321e+02	2.5034e+02	2.7454e+02	
2012	4.9905e-01	5.1866e-01	5.8735e-01	8.0976e-01	6.7022e-01	4.9898e-01	4.4615e-01	2.0110e-01	2.3499e-01	2.3296e-01	2.5281e+02	2.6239e+02	2.5952e+02	5.3690e+02	1.7487e+02	1.9279e+02	3.0573e+02	2.5280e+02	2.4270e+02	2.9155e+02	
2013	5.0118e-01	5.2373e-01	6.0117e-01	8.1634e-01	6.6806e-01	4.9776e-01	4.5234e-01	1.9927e-01	2.4024e-01	2.3435e-01	2.5594e+02	2.7331e+02	2.3947e+02	5.2484e+02	1.7658e+02	1.9669e+02	3.0831e+02	2.5942e+02	2.5751e+02	3.0748e+02	
2014	5.0004e-01	5.2877e-01	6.2318e-01	8.1066e-01	6.7192e-01	4.9501e-01	4.4582e-01	2.0009e-01	2.4498e-01	2.3996e-01	2.5590e+02	2.7018e+02	2.7918e+02	5.2550e+02	1.7985e+02	1.9227e+02	3.0558e+02	2.5448e+02	2.6267e+02	3.0937e+02	
2015	4.9904e-01	5.3459e-01	6.3911e-01	7.9637e-01	6.7136e-01	4.9464e-01	4.4500e-01	1.9816e-01	2.4581e-01	2.2990e-01	2.5587e+02	3.0252e+02	2.9419e+02	5.1234e+02	1.7825e+02	1.8744e+02	3.1084e+02	2.5574e+02	2.6225e+02	2.9289e+02	
2016	4.9797e-01	5.3882e-01	6.3427e-01	7.7079e-01	6.6667e-01	4.9954e-01	4.4371e-01	1.9524e-01	2.4688e-01	2.2418e-01	2.5006e+02	2.6049e+02	2.6834e+02	5.0518e+02	1.6747e+02	1.9685e+02	3.0262e+02	2.4289e+02	2.4807e+02	2.7487e+02	
2017	4.9966e-01	5.3182e-01	6.3369e-01	7.7104e-01	6.7296e-01	5.0921e-01	4.3751e-01	1.9964e-01	2.4323e-01	2.2528e-01	2.5450e+02	3.1160e+02	2.8890e+02	5.2324e+02	1.7169e+02	2.0025e+02	3.0336e+02	2.3540e+02	2.4452e+02	2.7888e+02	
2018	5.0065e-01	5.3787e-01	6.4194e-01	7.9596e-01	6.7559e-01	5.0464e-01	4.3989e-01	1.9947e-01	2.3832e-01	2.2139e-01	2.5612e+02	3.4311e+02	2.5763e+02	5.3761e+02	1.6972e+02	1.9744e+02	3.0907e+02	2.5520e+02	2.4038e+02	2.6855e+02	
2019	4.9785e-01	5.3992e-01	6.3505e-01	8.0323e-01	6.6879e-01	4.9739e-01	4.4028e-01	2.0299e-01	2.3768e-01	2.2030e-01	2.5200e+02	2.7748e+02	2.5754e+02	5.4753e+02	1.6214e+02	1.9406e+02	3.0809e+02	2.7122e+02	2.3786e+02	2.6302e+02	
2020	5.0121e-01	5.3457e-01	6.2835e-01	8.0324e-01	6.6744e-01	5.0387e-01	4.4564e-01	2.0944e-01	2.4038e-01	2.2244e-01	2.5282e+02	2.6123e+02	2.5616e+02	5.2974e+02	1.5631e+02	1.9859e+02	3.1003e+02	2.7751e+02	2.4571e+02	2.8346e+02	
