year	month	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1988	7	-2.9207e-14	-4.5468e-15	2.0532e-15	1.2261e-14	2.7975e-14	-1.8961e-14	1.4509e-15	5.1197e-15	1.0818e-14	1.9535e-14	-1.7749e-14	-7.2561e-15	6.8339e-16	7.6315e-15	1.7088e-14	-1.8397e-14	-1.2432e-14	-6.7782e-15	2.7586e-15	2.0045e-14	-2.1904e-14	-1.3082e-14	-4.3944e-15	3.0957e-15	9.8571e-15	-5.0233e-14	-1.8380e-14	-4.2366e-15	1.2592e-15	1.0874e-14	-5.0097e-15	7.5052e-15	1.5798e-14	2.2189e-14	3.2250e-14	8.4678e-18	1.1821e-16	4.4670e-16	1.6810e-14	4.0917e-14	5.0117e-18	1.8078e-16	7.2893e-15	1.9646e-14	3.1158e-14	6.1623e-17	1.7463e-15	6.4506e-15	1.2291e-14	2.9603e-14	
1988	8	-3.1019e-14	-2.9839e-15	2.5620e-15	1.3089e-14	3.1384e-14	-1.0524e-14	2.1211e-15	5.5976e-15	1.1437e-14	2.9774e-14	-7.4042e-15	-4.8617e-16	6.9303e-15	1.3665e-14	2.1315e-14	-2.7458e-14	-7.9724e-15	-1.3910e-15	6.4453e-15	1.6286e-14	-2.1097e-14	-1.1550e-14	-1.6581e-15	3.9600e-15	1.1046e-14	-5.5570e-14	-2.0134e-14	-4.2012e-15	6.8160e-16	1.0109e-14	-4.7399e-15	8.9452e-15	1.5245e-14	2.2740e-14	3.3986e-14	-1.4824e-18	1.0904e-16	3.0901e-16	2.3180e-14	4.1698e-14	-5.3979e-17	2.0360e-16	8.5165e-15	2.3980e-14	3.5627e-14	8.6015e-17	1.7818e-15	8.1155e-15	1.6170e-14	3.4859e-14	
1988	9	-3.0703e-14	-1.2443e-15	3.4661e-15	1.5267e-14	3.0654e-14	-3.4250e-16	3.0606e-16	9.2612e-16	1.5177e-14	3.5756e-14	5.2791e-15	1.6430e-14	2.3086e-14	2.9366e-14	3.5854e-14	-1.9888e-14	-2.3108e-15	6.1086e-15	1.3207e-14	2.2492e-14	-1.2320e-14	-7.1844e-15	3.9189e-15	9.5476e-15	1.9961e-14	-5.3997e-14	-1.8961e-14	-4.2975e-15	5.0381e-16	9.0406e-15	-2.7379e-15	9.4732e-15	1.5264e-14	2.0775e-14	3.2917e-14	4.3765e-17	2.0945e-16	7.3425e-16	1.7969e-14	3.5870e-14	-6.1004e-17	3.3936e-16	8.2645e-15	1.9836e-14	3.2198e-14	-1.2126e-16	2.8923e-15	1.1178e-14	2.0593e-14	3.3198e-14	
1988	10	-3.1156e-14	-1.4490e-16	5.0995e-15	1.5040e-14	3.1545e-14	-4.7440e-16	8.6293e-17	3.1461e-16	6.2032e-15	3.6054e-14	9.6285e-15	2.2604e-14	3.0230e-14	3.6505e-14	5.2254e-14	-1.1038e-14	5.4806e-15	1.2959e-14	2.2237e-14	3.1704e-14	-7.2816e-15	2.2605e-15	1.2448e-14	1.9790e-14	3.9239e-14	-5.4394e-14	-2.1157e-14	-3.8642e-15	1.6291e-15	9.4666e-15	-3.2929e-15	5.5309e-15	1.2220e-14	1.9233e-14	3.1895e-14	3.2596e-16	9.0207e-16	5.2252e-15	1.5465e-14	2.5640e-14	-2.9187e-15	1.0297e-15	7.6053e-15	1.4651e-14	3.2120e-14	-6.5767e-15	5.3919e-15	1.1066e-14	1.7931e-14	2.7011e-14	
1988	11	-2.9112e-14	-1.8993e-15	4.3232e-15	1.4421e-14	3.1028e-14	-9.9948e-16	6.1285e-17	2.2234e-16	1.3900e-15	3.3856e-14	6.9020e-15	2.2387e-14	2.8288e-14	3.9293e-14	5.4990e-14	2.5662e-15	8.8191e-15	1.5784e-14	2.2360e-14	3.4331e-14	-2.5049e-15	9.8708e-15	1.8811e-14	2.6150e-14	4.8250e-14	-5.3633e-14	-1.9071e-14	-3.3482e-15	1.6925e-15	9.5668e-15	-1.0181e-14	-6.2546e-16	6.7081e-15	1.4425e-14	2.6273e-14	-6.8426e-18	4.1740e-15	1.0142e-14	1.6870e-14	2.6148e-14	-1.5567e-14	-1.5294e-15	7.1854e-15	1.4166e-14	2.6631e-14	-1.2334e-14	4.9658e-16	5.0088e-15	1.0033e-14	2.0134e-14	
1989	0	-2.5447e-14	-4.7685e-15	1.5392e-15	1.2064e-14	3.5068e-14	-1.1482e-15	6.4677e-17	1.8658e-16	9.6889e-16	4.2679e-14	2.7335e-15	1.8140e-14	2.9681e-14	5.0193e-14	7.1253e-14	1.6869e-15	9.3254e-15	1.5485e-14	3.2488e-14	4.9795e-14	4.6719e-15	1.3684e-14	2.3936e-14	3.3880e-14	5.7379e-14	-4.8646e-14	-1.7166e-14	-3.1126e-15	2.1306e-15	1.2732e-14	-1.3481e-14	-4.3048e-15	2.7895e-15	1.0488e-14	2.0310e-14	-1.2480e-14	-1.7949e-15	7.0085e-15	1.2109e-14	2.2017e-14	-2.2954e-14	-9.7928e-15	-1.0999e-15	8.9674e-15	2.4765e-14	-1.3498e-14	-7.8214e-15	-3.9717e-15	1.5816e-15	1.2836e-14	
1989	1	-2.7059e-14	-6.5030e-15	5.2330e-16	1.0984e-14	3.3401e-14	-1.2755e-15	3.5959e-17	1.5967e-16	9.0962e-16	4.4858e-14	3.6280e-16	1.4340e-14	2.9166e-14	5.0143e-14	6.4971e-14	5.6645e-17	7.2958e-15	1.3826e-14	2.8209e-14	5.6121e-14	7.4564e-15	1.4583e-14	2.0888e-14	3.2043e-14	4.8835e-14	-3.7852e-14	-1.6305e-14	-4.4399e-15	1.1576e-15	1.1909e-14	-1.5599e-14	-5.9542e-15	1.1843e-15	8.5417e-15	1.8766e-14	-1.9805e-14	-5.6121e-15	4.9724e-15	1.2401e-14	2.0121e-14	-3.1000e-14	-1.4468e-14	-2.0791e-15	5.6539e-15	2.2629e-14	-2.6058e-14	-1.0586e-14	-6.0112e-15	4.9542e-16	1.0186e-14	
1989	2	-2.3321e-14	-4.3503e-15	1.6400e-15	1.1443e-14	2.9814e-14	-1.8995e-15	2.4519e-17	1.2353e-16	5.9858e-16	3.0206e-14	1.4872e-15	1.9662e-14	3.3222e-14	5.4907e-14	8.4173e-14	1.5639e-15	1.0457e-14	1.8937e-14	3.3788e-14	5.5337e-14	5.7414e-15	1.1960e-14	1.7304e-14	2.5296e-14	4.7953e-14	-3.2707e-14	-1.4220e-14	-4.5154e-15	1.1104e-16	9.2043e-15	-1.2521e-14	-4.3405e-15	2.9887e-15	8.9632e-15	1.7120e-14	-9.2964e-15	-1.2380e-15	6.4792e-15	1.4110e-14	2.0956e-14	-2.7729e-14	-8.6454e-15	3.5620e-15	9.7388e-15	1.7645e-14	-1.4809e-14	-4.0658e-15	4.9334e-16	6.7370e-15	1.5467e-14	
1989	3	-1.9835e-14	-2.1000e-15	3.6582e-15	1.2724e-14	2.7743e-14	-2.0146e-15	6.3963e-17	1.9581e-16	9.1387e-16	3.3924e-14	9.7212e-16	1.0149e-14	2.1052e-14	3.1412e-14	4.8287e-14	5.6321e-15	1.1005e-14	1.6040e-14	2.6906e-14	4.7749e-14	2.3874e-15	1.0079e-14	1.6104e-14	2.5249e-14	4.0518e-14	-3.0211e-14	-1.3958e-14	-4.7431e-15	3.5357e-16	9.8480e-15	-1.4212e-14	-1.8406e-15	6.8063e-15	1.4855e-14	2.4611e-14	-3.4768e-16	2.2096e-15	7.1391e-15	1.2285e-14	2.3970e-14	-1.2546e-14	3.3233e-16	4.5886e-15	1.1344e-14	2.0145e-14	-4.5177e-15	2.8275e-15	7.0757e-15	1.1297e-14	2.3381e-14	
1989	4	-1.9442e-14	-8.0199e-16	3.5577e-15	1.3394e-14	2.6800e-14	-6.5534e-15	7.5029e-17	2.0593e-16	1.8167e-15	2.7105e-14	-2.6340e-15	4.7495e-15	1.1705e-14	1.8274e-14	3.1024e-14	2.0206e-15	6.2134e-15	1.0293e-14	1.7303e-14	2.8128e-14	-5.3344e-15	2.2768e-15	1.2384e-14	1.9802e-14	2.7928e-14	-3.3561e-14	-1.2628e-14	-4.4752e-15	1.1832e-15	1.1133e-14	-4.8408e-15	1.7224e-15	9.6973e-15	1.9262e-14	2.8593e-14	2.7249e-17	5.3678e-16	6.6757e-15	1.3633e-14	3.4835e-14	-4.3038e-15	4.3055e-16	6.4033e-15	1.9102e-14	2.9507e-14	-1.2026e-15	4.2473e-15	9.5075e-15	1.3400e-14	2.0902e-14	
1989	5	-2.0335e-14	-1.3575e-15	3.1378e-15	1.2737e-14	2.7259e-14	-1.1003e-14	6.1808e-16	1.7455e-15	5.0668e-15	2.5244e-14	-1.5827e-14	-6.8077e-15	-7.4897e-16	8.8508e-15	1.9763e-14	-4.5793e-15	-4.0258e-16	4.5329e-15	9.7736e-15	2.6060e-14	-1.3482e-14	-6.2031e-15	5.1379e-15	1.2779e-14	2.3678e-14	-3.4183e-14	-1.2394e-14	-3.4072e-15	2.4863e-15	1.2110e-14	-1.1152e-15	6.1338e-15	1.4609e-14	2.3034e-14	3.3019e-14	2.2056e-17	2.7186e-16	3.4344e-15	1.7262e-14	3.3124e-14	2.0916e-17	3.1358e-16	4.8075e-15	1.6168e-14	2.6148e-14	-2.0224e-15	1.9035e-15	7.3860e-15	1.2447e-14	1.7326e-14	
1989	6	-2.5625e-14	-3.5767e-15	2.6683e-15	1.2888e-14	2.8542e-14	-2.0562e-14	5.1844e-16	7.3268e-15	1.4927e-14	2.6217e-14	-2.1554e-14	-1.5090e-14	-8.9464e-15	-1.5312e-15	1.1355e-14	-1.2843e-14	-7.8481e-15	-3.6767e-15	6.3001e-15	2.4623e-14	-2.3150e-14	-1.2196e-14	5.2711e-16	8.5272e-15	1.8081e-14	-4.2739e-14	-1.5524e-14	-3.7296e-15	2.2785e-15	1.1891e-14	-6.4114e-16	8.1053e-15	1.5163e-14	2.2974e-14	3.4148e-14	8.9398e-18	1.6124e-16	8.8653e-16	1.5964e-14	3.4918e-14	4.5516e-17	3.1462e-16	5.1859e-15	1.6293e-14	3.4416e-14	-3.8576e-15	4.7827e-16	5.1812e-15	1.2261e-14	2.7564e-14	
