year	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
2039	5.9521e+01	8.1257e-01	1.5112e+00	2.4096e+00	7.0135e+00	2.1740e+01	1.8423e+01	1.1714e+00	2.2513e+00	1.5019e+00	
2040	5.9594e+01	7.8933e-01	1.5100e+00	2.4589e+00	6.9874e+00	2.2097e+01	1.8197e+01	1.2109e+00	2.1632e+00	1.5025e+00	
2041	5.8355e+01	7.9553e-01	1.4955e+00	2.4157e+00	6.7686e+00	2.1192e+01	1.8191e+01	1.1421e+00	2.1785e+00	1.5194e+00	
2042	4.2504e+01	7.9020e-01	1.4205e+00	2.0749e+00	5.5686e+00	1.5356e+01	1.1854e+01	7.1220e-01	1.5547e+00	1.0988e+00	
2043	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2044	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2045	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2038	5.8559e+01	8.3155e-01	1.5571e+00	2.3777e+00	6.9246e+00	2.0968e+01	1.8277e+01	1.1241e+00	2.2012e+00	1.5668e+00	
2039	5.9521e+01	8.1257e-01	1.5112e+00	2.4096e+00	7.0135e+00	2.1740e+01	1.8423e+01	1.1714e+00	2.2513e+00	1.5019e+00	
2040	5.9594e+01	7.8933e-01	1.5100e+00	2.4589e+00	6.9874e+00	2.2097e+01	1.8197e+01	1.2109e+00	2.1632e+00	1.5025e+00	
2041	5.8355e+01	7.9553e-01	1.4955e+00	2.4157e+00	6.7686e+00	2.1192e+01	1.8191e+01	1.1421e+00	2.1785e+00	1.5194e+00	
2042	4.2504e+01	7.9020e-01	1.4205e+00	2.0749e+00	5.5686e+00	1.5356e+01	1.1854e+01	7.1220e-01	1.5547e+00	1.0988e+00	
2043	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2044	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2045	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2046	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2047	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2048	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2049	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2050	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2051	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
2052	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
