month	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	PPT	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	7	0.0000e+00	1.8130e-25	2.3632e-18	5.2650e-16	3.0250e-15	0.0000e+00	7.3437e-20	1.0331e-17	2.2699e-16	1.6804e-15	0.0000e+00	9.5442e-20	1.9917e-16	1.9157e-15	7.1364e-15	0.0000e+00	1.6735e-26	4.3545e-17	1.2913e-15	7.6299e-15	0.0000e+00	8.5174e-29	1.1901e-16	9.2455e-16	2.1792e-15	0.0000e+00	5.7232e-26	1.4418e-16	1.0853e-15	4.2059e-15	0.0000e+00	1.0898e-25	3.5764e-17	6.3610e-16	2.6134e-15	0.0000e+00	1.4634e-24	1.1195e-20	3.0089e-19	5.9089e-16	0.0000e+00	1.0783e-25	1.3487e-20	4.3448e-19	7.3079e-16	0.0000e+00	3.2088e-26	9.1401e-20	2.1729e-18	6.9123e-16	
1948	8	0.0000e+00	2.4233e-25	3.3647e-18	5.4675e-16	3.3213e-15	0.0000e+00	2.3341e-20	1.2943e-18	3.3863e-17	9.2178e-16	0.0000e+00	5.0099e-20	1.1323e-16	1.3803e-15	5.7384e-15	0.0000e+00	1.1840e-26	2.8454e-17	1.0019e-15	5.6989e-15	0.0000e+00	8.6441e-29	1.0477e-16	7.9511e-16	1.8062e-15	0.0000e+00	5.2977e-26	1.4366e-16	1.2008e-15	4.8408e-15	0.0000e+00	1.1423e-25	4.4952e-17	8.0327e-16	3.4356e-15	0.0000e+00	8.0194e-24	7.0232e-20	1.1019e-18	7.8136e-16	0.0000e+00	3.0630e-25	1.1212e-19	2.2776e-18	1.1692e-15	0.0000e+00	8.5457e-26	3.4304e-19	8.7411e-18	7.7724e-16	
1948	9	0.0000e+00	2.0030e-25	4.9073e-18	5.1521e-16	3.5265e-15	0.0000e+00	2.9729e-24	5.3798e-21	5.5658e-19	1.4881e-16	0.0000e+00	3.1915e-20	5.3939e-17	6.5617e-16	3.4715e-15	0.0000e+00	9.2806e-27	2.1427e-17	5.7212e-16	3.7780e-15	0.0000e+00	6.9795e-29	8.9416e-17	6.5054e-16	1.4616e-15	0.0000e+00	4.5861e-26	1.3417e-16	1.2266e-15	5.1347e-15	0.0000e+00	1.0477e-25	4.5855e-17	9.8190e-16	4.6527e-15	0.0000e+00	4.2629e-23	6.4968e-19	7.9329e-18	1.0424e-15	0.0000e+00	7.1869e-25	5.0997e-19	1.2634e-17	9.3917e-16	0.0000e+00	1.9129e-25	1.3250e-18	6.0359e-17	9.6304e-16	
1948	10	0.0000e+00	2.5099e-26	9.3336e-18	5.0590e-16	3.6051e-15	0.0000e+00	5.8995e-30	1.0047e-26	3.5016e-22	2.8568e-18	0.0000e+00	2.0786e-20	1.7829e-17	2.1931e-16	1.3065e-15	0.0000e+00	5.7718e-27	9.8463e-18	2.6939e-16	2.2673e-15	0.0000e+00	5.4983e-29	7.0277e-17	5.3280e-16	1.1855e-15	0.0000e+00	3.8829e-26	1.0477e-16	1.1992e-15	5.2593e-15	0.0000e+00	8.9811e-26	3.9605e-17	1.1312e-15	5.5493e-15	0.0000e+00	5.7738e-23	2.5848e-18	4.6721e-17	1.6428e-15	0.0000e+00	5.7488e-25	2.3524e-18	7.3462e-17	1.6948e-15	0.0000e+00	1.6693e-25	1.7677e-18	2.2952e-16	1.7860e-15	
1948	11	0.0000e+00	2.7135e-28	9.9731e-18	5.1955e-16	3.4949e-15	0.0000e+00	5.2547e-33	7.1023e-30	1.2115e-26	1.1387e-21	0.0000e+00	5.4117e-21	4.3397e-18	5.4805e-17	8.3220e-16	0.0000e+00	6.4001e-27	6.3606e-18	1.4366e-16	1.4080e-15	0.0000e+00	4.9164e-29	5.8037e-17	4.5938e-16	1.1324e-15	0.0000e+00	4.1438e-26	1.1039e-16	1.2020e-15	4.7452e-15	0.0000e+00	9.0014e-26	2.7676e-17	1.0430e-15	6.0094e-15	0.0000e+00	4.7069e-23	4.0357e-18	1.8526e-16	2.0775e-15	0.0000e+00	6.6578e-25	2.7998e-18	2.5610e-16	2.4449e-15	0.0000e+00	2.0690e-25	2.7961e-18	3.1277e-16	2.1309e-15	
1949	0	0.0000e+00	1.6901e-27	9.1734e-18	5.1776e-16	3.4270e-15	0.0000e+00	1.2423e-31	1.7308e-28	4.0534e-25	2.8109e-20	0.0000e+00	5.7285e-21	2.3501e-18	5.3592e-17	1.0092e-15	0.0000e+00	7.9436e-27	5.8091e-18	1.7620e-16	1.2775e-15	0.0000e+00	5.3646e-29	7.0387e-17	4.8736e-16	1.2735e-15	0.0000e+00	4.8170e-26	1.2786e-16	1.2049e-15	4.5450e-15	0.0000e+00	7.6206e-26	2.1746e-17	8.9159e-16	5.6073e-15	0.0000e+00	1.5697e-23	2.6207e-18	1.4026e-16	2.5721e-15	0.0000e+00	6.8469e-25	3.4752e-18	2.1053e-16	2.4554e-15	0.0000e+00	1.9153e-25	4.3842e-18	2.0410e-16	2.2035e-15	
1949	1	0.0000e+00	1.0197e-25	1.0655e-17	5.4186e-16	3.3593e-15	0.0000e+00	3.1289e-27	3.6320e-23	6.4050e-21	1.7443e-18	0.0000e+00	1.3623e-20	5.0100e-18	2.9771e-16	3.1877e-15	0.0000e+00	1.4561e-26	1.2089e-17	4.2438e-16	1.7790e-15	0.0000e+00	6.4301e-29	8.9015e-17	5.6322e-16	1.6261e-15	0.0000e+00	5.0912e-26	1.4492e-16	1.2521e-15	4.7673e-15	0.0000e+00	8.3943e-26	2.3634e-17	8.3515e-16	4.9260e-15	0.0000e+00	3.4773e-23	4.0723e-18	1.3373e-16	1.6098e-15	0.0000e+00	5.6824e-25	3.6647e-18	1.3691e-16	2.0444e-15	0.0000e+00	2.0552e-25	3.3148e-18	1.2324e-16	1.9673e-15	
1949	2	0.0000e+00	2.0247e-25	7.7674e-18	5.2093e-16	3.5807e-15	0.0000e+00	1.5453e-21	2.4505e-20	1.2692e-19	8.3881e-17	0.0000e+00	2.9703e-20	3.0523e-17	8.9460e-16	5.9278e-15	0.0000e+00	2.2953e-26	5.4520e-17	7.1937e-16	2.0211e-15	0.0000e+00	8.1311e-29	1.0246e-16	8.0138e-16	2.0774e-15	0.0000e+00	5.0403e-26	1.4133e-16	1.3755e-15	5.1708e-15	0.0000e+00	7.5935e-26	2.1976e-17	7.3526e-16	4.1901e-15	0.0000e+00	1.4171e-23	9.2922e-19	3.5036e-17	9.0314e-16	0.0000e+00	3.8516e-25	1.5090e-18	4.5105e-17	1.0790e-15	0.0000e+00	8.4136e-26	1.6298e-18	6.8483e-17	1.1781e-15	
1949	3	0.0000e+00	1.8127e-25	3.5867e-18	4.8023e-16	3.3604e-15	0.0000e+00	1.0099e-20	2.7470e-19	1.4664e-18	8.5184e-16	0.0000e+00	5.1808e-20	1.2105e-16	1.6135e-15	8.9381e-15	0.0000e+00	3.1397e-26	9.3236e-17	9.4358e-16	2.4543e-15	0.0000e+00	9.9365e-29	1.0265e-16	9.2800e-16	2.4503e-15	0.0000e+00	3.8524e-26	1.1291e-16	1.2483e-15	4.9328e-15	0.0000e+00	7.1100e-26	1.9313e-17	6.5823e-16	3.4007e-15	0.0000e+00	3.5378e-24	1.7480e-19	4.9090e-18	6.6806e-16	0.0000e+00	1.9783e-25	1.6161e-19	8.7910e-18	7.6303e-16	0.0000e+00	3.6917e-26	4.4661e-19	2.0553e-17	8.3136e-16	
1949	4	0.0000e+00	1.1733e-25	2.8308e-18	4.6892e-16	3.0484e-15	0.0000e+00	3.7377e-20	4.3948e-18	7.9563e-17	2.2636e-15	0.0000e+00	1.9553e-19	2.3019e-16	1.7814e-15	7.0180e-15	0.0000e+00	4.2100e-26	1.1428e-16	1.2735e-15	3.3688e-15	0.0000e+00	1.0121e-28	9.8960e-17	1.0705e-15	2.8300e-15	0.0000e+00	3.4081e-26	9.7020e-17	1.1030e-15	4.5250e-15	0.0000e+00	6.5691e-26	1.7263e-17	5.6782e-16	2.5190e-15	0.0000e+00	1.1776e-25	5.2805e-21	5.3780e-19	3.5181e-16	0.0000e+00	2.1095e-26	5.3509e-21	1.5062e-18	4.8794e-16	0.0000e+00	1.5202e-26	9.8338e-20	4.5195e-18	5.5513e-16	
