year	month	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	Cflx	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	7	-2.6127e-14	-2.0800e-17	5.8591e-15	2.6571e-14	4.3494e-14	-5.5354e-15	2.0841e-15	3.4878e-15	7.1198e-15	2.5384e-14	-6.3633e-15	1.7331e-15	8.5599e-15	1.9257e-14	3.9514e-14	-2.3203e-16	5.6269e-15	1.3289e-14	2.1417e-14	3.0112e-14	-9.6524e-15	-4.7827e-15	-1.4220e-15	3.8968e-15	1.2371e-14	-4.9437e-14	-1.8384e-14	1.1431e-15	1.0652e-14	2.9119e-14	1.2137e-14	2.2245e-14	3.0623e-14	3.7853e-14	4.8190e-14	-2.0248e-16	-1.4248e-17	1.2993e-16	3.0478e-14	4.9176e-14	-1.7660e-16	6.4477e-17	4.1611e-16	3.4582e-14	4.6206e-14	8.8505e-17	2.8414e-16	5.7772e-15	3.4322e-14	4.3669e-14	
1948	8	-2.5399e-14	-8.4933e-18	6.1094e-15	2.7194e-14	4.6698e-14	-1.6654e-15	6.4318e-16	1.5597e-15	7.5626e-15	2.9336e-14	-8.7722e-15	7.1730e-15	1.7400e-14	3.0415e-14	5.9963e-14	4.1944e-16	9.3357e-15	1.7684e-14	2.6581e-14	3.6354e-14	-1.1440e-14	-4.2139e-15	3.1652e-16	6.4480e-15	1.4335e-14	-5.1413e-14	-1.8751e-14	1.3097e-16	9.9004e-15	2.6512e-14	1.1494e-14	2.1618e-14	3.1282e-14	3.7826e-14	4.9385e-14	-1.5756e-16	-2.1228e-17	8.9361e-17	2.3693e-14	4.4288e-14	-4.4836e-16	9.9288e-17	7.8649e-16	3.9482e-14	5.0289e-14	5.5811e-17	4.2382e-16	2.3876e-15	4.6553e-14	5.3411e-14	
1948	9	-1.9364e-14	1.0357e-16	9.6097e-15	2.6510e-14	4.3251e-14	-9.8723e-18	8.3984e-17	2.4741e-16	5.2083e-15	3.6667e-14	4.7245e-15	1.8869e-14	2.9579e-14	4.1329e-14	8.6762e-14	9.0348e-15	2.2067e-14	3.3809e-14	4.8147e-14	6.3709e-14	-5.4123e-15	4.2099e-15	1.2082e-14	1.8100e-14	3.2288e-14	-3.6407e-14	-1.3720e-14	1.6125e-16	9.3929e-15	2.2568e-14	1.0876e-14	2.0879e-14	2.7516e-14	3.3721e-14	4.4224e-14	-5.9268e-16	-1.3855e-16	3.0503e-16	2.8402e-14	4.3119e-14	-3.2504e-16	1.1690e-16	1.0810e-15	2.9408e-14	4.6401e-14	1.3463e-16	8.0559e-16	3.0124e-15	2.6558e-14	3.3124e-14	
1948	10	-1.4816e-14	4.6616e-16	1.0140e-14	2.4560e-14	4.7672e-14	-1.2802e-16	7.9610e-17	1.5522e-16	7.6649e-16	3.8297e-14	1.5178e-14	2.4818e-14	3.2461e-14	5.3631e-14	8.6012e-14	1.7575e-14	3.6600e-14	4.9400e-14	6.4859e-14	7.8642e-14	1.2442e-15	1.4802e-14	2.5515e-14	3.4020e-14	5.0440e-14	-3.4791e-14	-9.6492e-15	2.7840e-15	9.3890e-15	2.5956e-14	9.8749e-15	1.8844e-14	2.5367e-14	3.2798e-14	4.8333e-14	-3.3346e-16	-8.7277e-17	1.0730e-15	1.0635e-14	2.4347e-14	-7.9617e-16	4.6572e-16	2.3939e-15	1.2272e-14	2.5852e-14	1.9894e-16	2.0720e-15	6.1189e-15	1.4336e-14	2.4491e-14	
1948	11	-1.4438e-14	5.4335e-16	8.3079e-15	2.2600e-14	5.0628e-14	-1.3168e-16	7.0347e-17	1.1462e-16	4.4085e-16	3.7525e-14	2.5207e-15	3.6241e-14	4.5334e-14	5.4211e-14	6.5825e-14	2.0718e-14	3.8610e-14	4.8350e-14	6.2746e-14	8.1581e-14	9.1052e-15	1.9971e-14	2.6523e-14	4.2518e-14	6.6733e-14	-3.8188e-14	-7.8716e-15	4.1615e-15	1.1101e-14	2.7369e-14	4.5403e-15	1.2210e-14	2.0742e-14	2.9918e-14	4.7771e-14	-5.2171e-15	-2.1387e-16	1.0259e-15	4.4714e-15	1.7255e-14	-6.2574e-15	7.1419e-16	3.3850e-15	7.7488e-15	1.9034e-14	-1.2391e-14	1.5578e-15	4.4070e-15	1.0588e-14	2.0275e-14	
1949	0	-1.9619e-14	7.8830e-17	7.1840e-15	2.0360e-14	5.1855e-14	-2.4813e-16	4.7057e-17	8.3685e-17	3.0709e-16	3.1965e-14	5.0223e-16	1.1024e-14	3.6913e-14	5.6875e-14	7.2152e-14	3.3204e-15	3.8134e-14	5.0654e-14	6.2195e-14	7.7675e-14	1.3256e-14	2.3972e-14	3.4256e-14	4.6748e-14	6.6529e-14	-3.8373e-14	-9.4535e-15	2.6781e-15	1.0637e-14	2.9686e-14	-1.4213e-15	5.7483e-15	1.4326e-14	2.3984e-14	3.9107e-14	-1.7400e-14	9.9921e-17	2.6147e-15	6.4495e-15	1.5516e-14	-1.7044e-14	-9.0666e-16	4.2391e-15	9.7211e-15	1.7367e-14	-1.9447e-14	-2.6844e-15	4.4467e-15	1.0635e-14	2.0242e-14	
1949	1	-2.0489e-14	-6.0762e-16	5.1197e-15	1.6210e-14	4.3486e-14	-3.9248e-16	5.1302e-17	9.3881e-17	2.9109e-16	2.7017e-14	-7.8062e-15	1.6341e-15	2.0288e-14	4.7670e-14	7.4843e-14	8.4824e-16	2.2029e-14	3.3803e-14	4.7232e-14	5.7239e-14	1.1884e-14	2.4451e-14	3.5208e-14	4.3707e-14	6.5551e-14	-3.3343e-14	-1.1013e-14	1.7604e-16	6.6728e-15	2.7957e-14	-6.6839e-15	2.4539e-15	1.0950e-14	1.9048e-14	3.3987e-14	-1.4024e-14	-5.5201e-16	2.3557e-15	6.3969e-15	1.4439e-14	-2.1584e-14	-2.0315e-15	3.4471e-15	8.8173e-15	1.5631e-14	-1.6590e-14	-3.8737e-15	3.1941e-15	8.4383e-15	1.5468e-14	
1949	2	-1.5810e-14	-8.8422e-17	4.7015e-15	1.5981e-14	3.7970e-14	-5.4404e-16	1.9926e-17	4.9775e-17	1.7597e-16	3.0125e-14	-1.4762e-14	1.8466e-15	1.3866e-14	4.5870e-14	8.9370e-14	1.0776e-15	1.9353e-14	2.9971e-14	4.1756e-14	5.8138e-14	8.9675e-15	1.8357e-14	2.6914e-14	3.5208e-14	5.5462e-14	-3.3331e-14	-1.1043e-14	-1.2862e-15	4.3397e-15	1.9995e-14	-5.8859e-15	4.0075e-15	1.2229e-14	2.2098e-14	3.7250e-14	-4.0967e-15	1.0083e-16	2.2344e-15	6.9299e-15	1.1855e-14	-1.1742e-14	7.5775e-17	3.7887e-15	9.1093e-15	2.0385e-14	-8.1598e-15	5.0892e-16	5.2011e-15	1.0706e-14	1.8690e-14	
1949	3	-1.2256e-14	1.1213e-16	6.4404e-15	1.8394e-14	4.1437e-14	-6.4786e-16	-1.2231e-17	1.1572e-16	2.9584e-16	4.2999e-14	-3.0132e-15	7.3413e-15	1.7376e-14	5.0634e-14	6.5104e-14	1.4858e-15	1.9654e-14	2.9941e-14	4.1722e-14	5.2347e-14	7.5250e-15	1.4773e-14	2.2849e-14	3.4892e-14	5.2981e-14	-2.7093e-14	-9.0823e-15	-1.1726e-15	4.8278e-15	1.7355e-14	-1.5923e-15	8.2457e-15	1.8238e-14	2.7412e-14	4.2960e-14	-3.0890e-16	1.5831e-16	1.2990e-15	9.6733e-15	1.7428e-14	-1.0187e-15	3.8540e-16	3.6380e-15	1.2435e-14	2.2565e-14	1.7748e-16	4.0764e-15	1.1098e-14	1.6452e-14	2.5604e-14	
1949	4	-1.4327e-14	1.9657e-16	7.4176e-15	1.8677e-14	3.6163e-14	-6.2702e-15	-4.5215e-17	2.4450e-16	1.2336e-15	2.5945e-14	-1.9487e-15	7.2494e-15	1.5250e-14	3.1480e-14	5.5398e-14	2.4322e-15	1.2013e-14	1.8878e-14	2.5145e-14	3.3545e-14	2.4682e-15	8.6495e-15	1.4109e-14	2.0923e-14	3.0169e-14	-2.6299e-14	-9.2733e-15	-5.8595e-17	5.0356e-15	1.7536e-14	1.7982e-15	1.3685e-14	2.3298e-14	3.3460e-14	4.7917e-14	-5.0503e-16	7.0390e-17	6.5708e-16	1.3395e-14	2.2410e-14	-1.5534e-16	3.1467e-16	6.0516e-15	1.5587e-14	2.4656e-14	2.9306e-16	1.3512e-15	1.2750e-14	1.7138e-14	2.2756e-14	
