year	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	
		PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	gCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	PgCarbonPerYr	
		total	total	total	total	total	Arctic	Arctic	Arctic	Arctic	Arctic	N_Atl	N_Atl	N_Atl	N_Atl	N_Atl	N_Pac	N_Pac	N_Pac	N_Pac	N_Pac	Equ_N	Equ_N	Equ_N	Equ_N	Equ_N	Equ	Equ	Equ	Equ	Equ	Equ_S	Equ_S	Equ_S	Equ_S	Equ_S	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Atl	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Pac	SO_Ind	SO_Ind	SO_Ind	SO_Ind	SO_Ind	
		min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	min(5pt)	25pt	median	75pt	max(95pt)	
1948	7	4.5247e-16	1.1590e-14	2.6042e-14	3.9603e-14	6.6001e-14	2.0332e-15	1.4334e-14	2.0265e-14	2.8548e-14	3.6218e-14	2.5360e-15	1.8668e-14	2.8972e-14	4.3355e-14	1.0652e-13	1.0815e-08	4.1333e-08	8.3894e-08	1.1860e-07	1.4131e-07	4.4607e-15	2.2886e-14	3.0204e-14	3.6638e-14	4.7571e-14	5.8439e-15	3.2884e-14	4.5628e-14	5.9118e-14	7.7775e-14	4.1174e-15	2.1174e-14	2.8029e-14	3.5670e-14	5.0988e-14	2.7737e-16	3.5071e-16	7.4443e-16	8.8300e-15	2.4341e-14	3.2287e-16	4.8041e-16	8.0184e-16	9.0321e-15	2.6059e-14	3.5052e-16	8.0235e-16	1.8597e-15	1.0817e-14	1.6147e-14	
1948	8	4.3403e-16	1.1707e-14	2.5684e-14	4.2648e-14	6.8934e-14	1.0259e-15	1.9583e-15	4.7432e-15	9.9517e-15	2.4134e-14	2.3861e-15	1.6450e-14	2.3922e-14	3.3222e-14	6.5578e-14	1.1350e-08	4.2780e-08	9.6970e-08	1.1958e-07	1.3915e-07	4.6504e-15	2.0736e-14	2.5736e-14	3.0732e-14	4.2179e-14	6.1694e-15	3.8767e-14	5.0460e-14	6.3576e-14	8.1737e-14	4.9300e-15	2.2671e-14	3.3499e-14	4.0790e-14	5.4387e-14	2.8457e-16	3.6778e-16	5.9981e-16	1.3000e-14	2.1097e-14	3.1557e-16	4.4759e-16	7.8477e-16	1.6964e-14	2.4560e-14	3.6229e-16	7.6716e-16	2.4613e-15	1.4139e-14	2.0016e-14	
1948	9	4.3933e-16	9.7884e-15	2.2606e-14	4.3529e-14	6.7129e-14	4.8483e-16	6.4062e-16	9.8506e-16	2.6783e-15	8.7715e-15	2.7565e-15	1.1929e-14	1.5941e-14	2.0947e-14	3.0878e-14	1.1071e-08	3.5761e-08	7.6556e-08	8.8176e-08	9.8792e-08	4.3886e-15	1.7252e-14	2.1833e-14	2.5953e-14	3.7933e-14	6.2050e-15	3.7121e-14	5.1484e-14	6.2076e-14	7.9200e-14	5.2916e-15	2.1475e-14	3.7493e-14	4.6882e-14	5.9437e-14	3.3402e-16	4.0958e-16	6.0608e-16	1.4528e-14	2.0566e-14	3.0769e-16	3.9999e-16	1.0106e-15	1.4870e-14	2.2352e-14	3.5899e-16	8.4644e-16	4.7277e-15	1.4211e-14	1.9786e-14	
1948	10	4.2130e-16	1.0408e-14	2.0907e-14	4.2852e-14	6.4583e-14	2.6722e-16	3.2478e-16	4.8530e-16	6.8241e-16	2.3483e-15	1.9022e-15	6.6711e-15	8.1516e-15	1.0178e-14	1.4532e-14	9.5289e-09	3.1221e-08	4.8759e-08	5.9109e-08	7.2351e-08	3.9715e-15	1.4185e-14	1.8121e-14	2.2572e-14	3.1157e-14	5.7457e-15	3.4551e-14	4.6873e-14	5.6830e-14	7.6531e-14	5.1126e-15	1.8638e-14	3.5733e-14	5.0983e-14	6.4819e-14	3.3022e-16	3.9465e-16	1.4364e-15	1.9422e-14	2.4490e-14	3.0454e-16	3.8527e-16	7.8635e-15	1.7036e-14	2.3989e-14	4.1945e-16	3.9692e-15	1.5691e-14	2.0547e-14	2.3832e-14	
1948	11	4.5960e-16	1.1479e-14	2.0411e-14	3.9527e-14	6.5001e-14	1.9307e-16	2.2364e-16	3.1326e-16	4.3634e-16	7.4114e-16	6.8218e-16	2.4221e-15	3.9362e-15	5.9601e-15	8.4765e-15	7.0475e-09	1.9870e-08	2.9350e-08	3.8696e-08	5.3370e-08	3.4674e-15	1.2410e-14	1.5283e-14	1.9657e-14	3.0034e-14	5.3463e-15	3.5274e-14	4.4737e-14	5.6539e-14	7.4765e-14	4.7065e-15	1.7035e-14	3.0895e-14	4.9110e-14	6.7052e-14	2.9611e-16	3.5469e-16	1.2828e-14	1.9156e-14	2.4206e-14	3.8099e-16	2.7828e-15	1.5124e-14	2.1315e-14	2.6587e-14	1.2406e-15	1.5052e-14	1.9117e-14	2.2254e-14	2.8963e-14	
1949	0	6.3611e-16	1.3369e-14	2.1763e-14	4.0115e-14	6.5042e-14	1.7549e-16	1.9093e-16	2.5144e-16	3.2005e-16	5.3464e-16	3.2291e-16	8.5695e-16	2.3340e-15	6.1259e-15	1.1389e-14	5.7144e-09	1.9612e-08	2.9535e-08	3.8135e-08	4.8136e-08	3.4205e-15	1.5286e-14	1.8798e-14	2.2938e-14	3.4397e-14	5.3448e-15	3.6660e-14	4.6243e-14	5.8793e-14	7.8756e-14	4.5636e-15	1.7898e-14	2.9738e-14	4.5320e-14	6.2523e-14	1.3503e-15	1.0672e-14	1.5227e-14	2.0202e-14	2.9294e-14	4.5113e-15	1.4925e-14	1.8768e-14	2.4126e-14	3.5727e-14	5.4131e-15	1.1972e-14	1.5939e-14	1.9602e-14	2.5282e-14	
1949	1	6.5569e-16	1.2706e-14	2.2067e-14	4.3170e-14	6.6669e-14	1.6438e-16	1.8793e-16	2.7723e-16	3.6176e-16	6.9211e-16	2.9233e-16	7.8779e-16	3.1772e-15	1.3688e-14	2.8462e-14	7.4871e-09	2.9591e-08	4.3857e-08	5.8660e-08	7.5367e-08	3.7575e-15	1.8531e-14	2.3319e-14	3.0324e-14	4.4493e-14	5.5785e-15	4.0625e-14	5.0228e-14	6.0322e-14	8.0872e-14	4.5681e-15	1.9448e-14	3.0964e-14	4.4924e-14	6.3179e-14	5.7815e-15	1.0441e-14	1.3434e-14	1.8311e-14	2.8283e-14	6.8339e-15	1.1694e-14	1.4738e-14	1.8516e-14	2.5582e-14	5.1382e-15	8.8248e-15	1.1306e-14	1.4445e-14	2.0299e-14	
1949	2	7.9894e-16	9.1258e-15	2.4688e-14	4.3772e-14	6.8405e-14	1.4827e-16	1.8154e-16	2.4009e-16	3.5436e-16	3.0097e-15	4.3782e-16	1.5444e-15	1.4522e-14	4.2448e-14	1.0571e-13	1.0793e-08	6.5505e-08	8.1817e-08	9.8438e-08	1.2462e-07	4.5107e-15	2.2584e-14	2.7593e-14	3.4823e-14	5.1699e-14	5.7774e-15	4.0251e-14	5.1812e-14	6.2956e-14	8.2064e-14	4.5439e-15	1.9521e-14	2.9903e-14	4.2776e-14	5.7533e-14	2.2399e-15	3.3811e-15	6.8538e-15	1.0833e-14	1.4017e-14	4.3189e-15	5.5354e-15	8.4056e-15	1.1681e-14	2.2532e-14	3.9514e-15	4.9990e-15	8.7843e-15	1.0908e-14	1.3224e-14	
1949	3	9.8695e-16	7.1502e-15	2.5310e-14	4.2704e-14	6.6941e-14	1.4564e-16	1.6843e-16	2.5616e-16	4.1661e-16	4.3595e-14	1.6717e-15	1.5848e-14	3.9115e-14	6.7147e-14	1.0949e-13	1.7712e-08	6.6225e-08	9.9878e-08	1.2973e-07	1.5317e-07	5.4009e-15	2.5080e-14	3.0401e-14	3.7377e-14	5.8746e-14	5.6775e-15	3.5795e-14	4.7774e-14	6.0189e-14	7.5894e-14	4.4960e-15	1.8570e-14	2.7974e-14	3.9043e-14	5.0929e-14	1.0684e-15	1.4479e-15	3.0461e-15	8.0005e-15	1.0845e-14	1.0906e-15	1.6230e-15	3.9932e-15	7.8467e-15	2.4537e-14	1.6777e-15	3.5121e-15	6.5118e-15	8.6695e-15	1.1147e-14	
1949	4	7.2893e-16	5.6358e-15	2.4710e-14	3.9837e-14	6.2453e-14	1.9739e-16	2.1364e-16	3.1006e-16	6.0167e-15	6.7731e-14	9.4340e-15	3.3825e-14	5.6844e-14	8.9650e-14	1.4953e-13	1.7627e-08	6.3048e-08	9.3461e-08	1.2461e-07	1.5875e-07	5.1947e-15	2.6409e-14	3.2361e-14	3.9152e-14	5.7769e-14	5.6027e-15	3.2828e-14	4.3119e-14	5.3375e-14	6.9391e-14	4.2718e-15	1.7714e-14	2.4560e-14	3.1215e-14	4.6701e-14	7.3177e-16	1.0933e-15	1.6592e-15	5.6744e-15	1.0728e-14	6.4610e-16	1.0554e-15	2.0099e-15	6.0834e-15	2.5582e-14	9.6184e-16	2.2369e-15	4.2495e-15	6.6592e-15	1.0527e-14	
