year	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	Fer	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	TChl	
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	total	Arctic	N_Atl	N_Pac	Equ_N	Equ	Equ_S	SO_Atl	SO_Pac	SO_Ind	
2046	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2047	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2048	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2049	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2050	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2051	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2052	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2053	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2054	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2055	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2056	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2057	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2058	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2059	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2060	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2061	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
2062	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	-1.0000e+00	
